       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      8000        93        0.82    1.0170
      9000       104        0.83    1.4540
     10000       116        0.84    2.0090
     11000       128        0.84    2.7020
     12000       139        0.85    3.5560
     13000       152        0.85    4.5460
     14000       163        0.85    5.7930
 


           ========== 14x135 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.67    0.0030
      2000        21        0.74    0.0220
      3000        32        0.77    0.0710
      4000        45        0.79    0.1520
      5000        57        0.80    0.2930
      6000        68        0.81    0.5040
      7000        80        0.82    0.7990
      8000        96        0.83    1.0730
      9000       108        0.84    1.5350
     10000       120        0.84    2.1210
     11000       132        0.85    2.8530
     12000       144        0.85    3.7180
     13000       156        0.85    4.8080
     14000       168        0.85    6.2460
 


           ========== 14x13N ==========

       RPM       VMPH       EFF      HP
      1000        10        0.67    0.0030
      2000        21        0.73    0.0200
      3000        31        0.76    0.0640
      4000        42        0.78    0.1490
      5000        55        0.80    0.2640
      6000        67        0.81    0.4530
      7000        78        0.82    0.7190
      8000        89        0.83    1.0750
      9000       105        0.83    1.3810
     10000       117        0.84    1.9080
     11000       128        0.84    2.5670
     12000       140        0.85    3.3790
     13000       152        0.85    4.3310
     14000       164        0.85    5.5310
     15000       175        0.85    7.1200
     16000       188        0.84    8.9850
     17000       201        0.81   11.4310
 


           ========== 14x14 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.68    0.0030
      2000        22        0.74    0.0230
      3000        33        0.77    0.0750
      4000        47        0.79    0.1600
      5000        59        0.81    0.3090
      6000        71        0.82    0.5320
      7000        82        0.83    0.8440
      8000        99        0.83    1.1340
      9000       111        0.84    1.6220
     10000       124        0.85    2.2010
     11000       136        0.85    3.0200
     12000       148        0.85    3.9840
     13000       168        0.86    4.5050
     14000       181        0.86    5.7800
 


           ========== 14x14E ==========

       RPM       VMPH       EFF      HP
      1000        11        0.73    0.0030
      2000        22        0.78    0.0210
      3000        33        0.80    0.0680
      4000        47        0.81    0.1460
      5000        59        0.82    0.2750
      6000        70        0.83    0.4870
      7000        82        0.84    0.7740
      8000        94        0.84    1.1580
      9000       110        0.85    1.4870
     10000       118        0.85    2.2540
     11000       135        0.86    2.7670
     12000       147        0.86    3.6460
     13000       159        0.86    4.7240
     14000       171        0.86    6.0500
     15000       184        0.86    7.6750
 


           ========== 14x14N ==========

       RPM       VMPH       EFF      HP
      1000        10        0.68    0.0030
      2000        22        0.74    0.0220
      3000        34        0.78    0.0710
      4000        47        0.79    0.1520
      5000        60        0.81    0.2880
      6000        71        0.82    0.5040
      7000        83        0.83    0.8000
      8000        99        0.83    1.0750
      9000       112        0.84    1.5380
     10000       125        0.85    2.0930
     11000       137        0.85    2.8640
     12000       149        0.86    3.7820
     13000       162        0.86    4.9050
     14000       174        0.86    6.2860
     15000       187        0.86    7.9800
     16000       200        0.84   10.0960
 


           ========== 14x47SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.47    0.0010
      2000         8        0.49    0.0100
      3000        12        0.51    0.0340
      4000        16        0.52    0.0780
      5000        21        0.53    0.1500
      6000        25        0.53    0.2600
      7000        29        0.54    0.4060
      8000        34        0.54    0.6020
      9000        38        0.55    0.8600
     10000        44        0.55    1.1500
     11000        49        0.56    1.5060
     12000        53        0.56    2.0010
     13000        58        0.56    2.5440
     14000        60        0.55    3.4060
     15000        61        0.52    4.6330
     16000        61        0.48    6.4350
 


           ========== 14x4W ==========

       RPM       VMPH       EFF      HP
      1000         3        0.31    0.0010
      2000         7        0.39    0.0080
      3000        11        0.44    0.0230
      4000        15        0.47    0.0500
      5000        19        0.50    0.0940
      6000        23        0.52    0.1520
      7000        27        0.53    0.2350
      8000        31        0.55    0.3470
      9000        36        0.56    0.4780
     10000        40        0.57    0.6360
     11000        45        0.58    0.8370
     12000        49        0.59    1.0890
     13000        53        0.60    1.3940
     14000        58        0.61    1.7080
     15000        62        0.59    2.2390
     16000        60        0.56    3.2060
     17000        61        0.51    4.5120
 


           ========== 14x55MR ==========

       RPM       VMPH       EFF      HP
      1000         4        0.47    0.0010
      2000         8        0.53    0.0090
      3000        13        0.56    0.0270
      4000        18        0.58    0.0620
      5000        22        0.60    0.1190
      6000        28        0.61    0.1980
      7000        32        0.62    0.3170
      8000        38        0.63    0.4470
      9000        43        0.64    0.6320
     10000        48        0.65    0.8640
     11000        54        0.66    1.1260
     12000        58        0.66    1.4980
     13000        63        0.67    1.8920
     14000        68        0.67    2.3710
     15000        72        0.67    3.0540
     16000        73        0.64    4.1270
 


           ========== 14x5N ==========

       RPM       VMPH       EFF      HP
      1000         3        0.38    0.0010
      2000         8        0.46    0.0070
      3000        12        0.51    0.0200
      4000        18        0.55    0.0440
      5000        22        0.58    0.0810
      6000        27        0.60    0.1370
      7000        32        0.62    0.2110
      8000        36        0.63    0.3110
      9000        43        0.64    0.4200
     10000        47        0.66    0.5760
     11000        52        0.67    0.7640
     12000        57        0.68    0.9940
     13000        62        0.68    1.2560
     14000        70        0.69    1.5080
     15000        72        0.69    2.0170
     16000        77        0.68    2.5610
     17000        82        0.66    3.3260
 


           ========== 14x6 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.45    0.0010
      2000        10        0.53    0.0090
      3000        15        0.58    0.0290
      4000        21        0.61    0.0630
      5000        27        0.63    0.1190
      6000        32        0.65    0.2030
      7000        38        0.67    0.3170
      8000        46        0.68    0.4390
      9000        52        0.69    0.6130
     10000        57        0.70    0.8500
     11000        63        0.71    1.1360
     12000        69        0.72    1.4800
     13000        78        0.73    1.7460
     14000        84        0.73    2.2100
     15000        86        0.73    3.0350
     16000        88        0.71    4.1270
 


           ========== 14x6E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.49    0.0010
      2000         9        0.55    0.0080
      3000        14        0.59    0.0240
      4000        19        0.61    0.0560
      5000        24        0.63    0.1060
      6000        31        0.65    0.1720
      7000        36        0.66    0.2690
      8000        41        0.67    0.3970
      9000        46        0.68    0.5620
     10000        52        0.69    0.7580
     11000        57        0.70    1.0260
     12000        62        0.70    1.3290
     13000        71        0.71    1.5820
     14000        76        0.71    2.0050
     15000        77        0.71    2.7470
     16000        83        0.69    3.5100
 


           ========== 14x7 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.50    0.0020
      2000        11        0.58    0.0110
      3000        18        0.62    0.0330
      4000        24        0.65    0.0760
      5000        30        0.67    0.1440
      6000        38        0.69    0.2270
      7000        45        0.71    0.3570
      8000        51        0.72    0.5330
      9000        58        0.73    0.7560
     10000        64        0.74    1.0370
     11000        74        0.74    1.2740
     12000        81        0.75    1.6640
     13000        88        0.76    2.1360
     14000        94        0.76    2.7100
     15000       101        0.76    3.4290
     16000       103        0.75    4.7280
 


           ========== 14x7E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.54    0.0010
      2000        11        0.60    0.0090
      3000        16        0.64    0.0290
      4000        23        0.66    0.0640
      5000        29        0.68    0.1220
      6000        35        0.69    0.2050
      7000        41        0.70    0.3280
      8000        47        0.71    0.4870
      9000        55        0.72    0.6470
     10000        61        0.73    0.8860
     11000        67        0.74    1.1830
     12000        74        0.74    1.5440
     13000        80        0.75    1.9810
     14000        86        0.75    2.5130
     15000        92        0.75    3.1790
     16000        94        0.73    4.3170
 


           ========== 14x8 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.54    0.0020
      2000        13        0.62    0.0120
      3000        20        0.66    0.0390
      4000        27        0.69    0.0900
      5000        35        0.71    0.1610
      6000        43        0.72    0.2740
      7000        50        0.74    0.4320
      8000        57        0.75    0.6410
      9000        67        0.76    0.8380
     10000        75        0.76    1.1520
     11000        83        0.77    1.5410
     12000        90        0.78    2.0170
     13000        98        0.78    2.5960
     14000       110        0.79    2.9630
     15000       114        0.79    4.0900
     16000       121        0.77    5.2760
 


           ========== 14x85E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.60    0.0020
      2000        13        0.66    0.0110
      3000        20        0.69    0.0350
      4000        27        0.71    0.0810
      5000        34        0.73    0.1550
      6000        43        0.74    0.2480
      7000        50        0.75    0.3920
      8000        58        0.76    0.5830
      9000        65        0.77    0.8300
     10000        72        0.77    1.1430
     11000        79        0.78    1.5300
     12000        91        0.78    1.8360
     13000        98        0.79    2.3620
     14000       106        0.79    3.0040
     15000       109        0.79    4.0900
     16000       117        0.77    5.1830
 


           ========== 155x12-4 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.60    0.0060
      2000        20        0.67    0.0430
      3000        30        0.71    0.1370
      4000        40        0.73    0.3160
      5000        53        0.75    0.5600
      6000        63        0.76    0.9590
      7000        75        0.77    1.4880
      8000        85        0.78    2.2330
      9000       100        0.79    2.9200
     10000       111        0.80    4.0350
     11000       122        0.80    5.4340
     12000       133        0.81    7.1770
     13000       145        0.81    9.3530
     14000       156        0.81   12.1860
     15000       168        0.78   15.9230
 


           ========== 1575x13-3 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.64    0.0070
      2000        21        0.71    0.0450
      3000        32        0.74    0.1450
      4000        45        0.76    0.3110
      5000        56        0.78    0.5980
      6000        68        0.79    1.0150
      7000        83        0.80    1.4680
      8000        95        0.81    2.1940
      9000       107        0.81    3.1420
     10000       119        0.82    4.3530
     11000       131        0.82    5.8750
     12000       144        0.83    7.6880
 


           ========== 15x10 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.60    0.0030
      2000        16        0.67    0.0200
      3000        25        0.71    0.0590
      4000        34        0.73    0.1360
      5000        42        0.75    0.2610
      6000        53        0.76    0.4120
      7000        62        0.77    0.6500
      8000        71        0.78    0.9690
      9000        80        0.79    1.3830
     10000        89        0.80    1.9100
     11000        99        0.80    2.5340
     12000       112        0.81    3.0410
     13000       121        0.81    3.9430
     14000       125        0.81    5.6530
     15000       135        0.80    7.2770
 


           ========== 15x10E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.64    0.0020
      2000        15        0.70    0.0170
      3000        23        0.73    0.0560
      4000        33        0.75    0.1220
      5000        42        0.76    0.2360
      6000        50        0.77    0.4050
      7000        58        0.78    0.6400
      8000        67        0.79    0.9570
      9000        79        0.79    1.2520
     10000        88        0.80    1.7280
     11000        96        0.80    2.3210
     12000       105        0.81    3.0570
     13000       114        0.81    3.9610
     14000       122        0.81    5.0980
     15000       126        0.79    7.1310
     16000       137        0.76    9.0400
 


           ========== 15x11 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.62    0.0030
      2000        17        0.69    0.0220
      3000        27        0.73    0.0670
      4000        36        0.75    0.1550
      5000        46        0.77    0.2980
      6000        58        0.78    0.4620
      7000        67        0.79    0.7430
      8000        77        0.80    1.1100
      9000        87        0.81    1.5860
     10000       101        0.81    1.9720
     11000       111        0.82    2.6520
     12000       121        0.82    3.4940
     13000       132        0.83    4.5390
     14000       142        0.83    5.8560
     15000       146        0.81    8.3600
 


           ========== 15x12 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.65    0.0040
      2000        19        0.71    0.0230
      3000        29        0.75    0.0750
      4000        39        0.77    0.1750
      5000        52        0.78    0.3050
      6000        62        0.80    0.5320
      7000        73        0.81    0.8430
      8000        83        0.81    1.2620
      9000        98        0.82    1.6230
     10000       109        0.83    2.2440
     11000       120        0.83    3.0220
     12000       131        0.84    3.9880
     13000       142        0.84    5.1880
     14000       153        0.84    6.6910
     15000       164        0.82    8.6380
 


           ========== 15x135-3 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.65    0.0050
      2000        21        0.71    0.0360
      3000        32        0.75    0.1160
      4000        46        0.77    0.2480
      5000        57        0.78    0.4780
      6000        69        0.79    0.8220
      7000        81        0.80    1.3030
      8000        92        0.81    1.9500
      9000       109        0.82    2.5080
     10000       121        0.82    3.4660
     11000       134        0.83    4.6020
     12000       146        0.83    6.0530
     13000       158        0.84    7.9120
     14000       169        0.83   10.4440
 


           ========== 15x4E ==========

       RPM       VMPH       EFF      HP
      1000         3        0.33    0.0010
      2000         6        0.40    0.0070
      3000        10        0.44    0.0230
      4000        14        0.47    0.0490
      5000        18        0.49    0.0910
      6000        21        0.51    0.1540
      7000        24        0.52    0.2410
      8000        28        0.53    0.3530
      9000        33        0.55    0.4790
     10000        36        0.56    0.6690
     11000        41        0.57    0.8620
     12000        45        0.57    1.1120
     13000        48        0.58    1.4240
     14000        52        0.57    1.8600
     15000        51        0.53    2.6400
     16000        52        0.48    3.7590
 


           ========== 15x4W ==========

       RPM       VMPH       EFF      HP
      1000         3        0.31    0.0020
      2000         7        0.39    0.0100
      3000        11        0.43    0.0290
      4000        15        0.47    0.0660
      5000        19        0.49    0.1220
      6000        23        0.51    0.2000
      7000        28        0.53    0.3090
      8000        32        0.55    0.4430
      9000        37        0.56    0.6070
     10000        42        0.57    0.8200
     11000        46        0.58    1.0880
     12000        50        0.59    1.4260
     13000        56        0.59    1.7770
     14000        56        0.58    2.5080
     15000        58        0.54    3.5180
     16000        56        0.48    5.2570
 


           ========== 15x55MR ==========

       RPM       VMPH       EFF      HP
      1000         4        0.46    0.0020
      2000         8        0.52    0.0120
      3000        13        0.55    0.0370
      4000        18        0.57    0.0840
      5000        23        0.58    0.1550
      6000        28        0.60    0.2660
      7000        33        0.61    0.4150
      8000        37        0.62    0.6190
      9000        44        0.63    0.8330
     10000        49        0.64    1.1380
     11000        55        0.64    1.4910
     12000        59        0.65    1.9810
     13000        64        0.65    2.5230
     14000        66        0.65    3.4210
     15000        71        0.62    4.5100
     16000        71        0.57    6.3720
 


           ========== 15x6 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.44    0.0020
      2000        10        0.52    0.0120
      3000        16        0.57    0.0370
      4000        22        0.60    0.0800
      5000        27        0.63    0.1520
      6000        33        0.64    0.2550
      7000        39        0.66    0.3990
      8000        45        0.67    0.5840
      9000        52        0.68    0.7850
     10000        58        0.69    1.0730
     11000        64        0.70    1.4390
     12000        70        0.71    1.8920
     13000        80        0.72    2.2410
     14000        82        0.72    3.1160
     15000        88        0.70    4.0320
 


           ========== 15x6E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.47    0.0010
      2000         9        0.54    0.0100
      3000        15        0.58    0.0310
      4000        20        0.60    0.0710
      5000        25        0.62    0.1330
      6000        30        0.64    0.2260
      7000        37        0.65    0.3410
      8000        42        0.66    0.5050
      9000        47        0.67    0.7140
     10000        53        0.68    0.9670
     11000        58        0.69    1.3070
     12000        63        0.69    1.7000
     13000        68        0.70    2.1870
     14000        73        0.69    2.8370
     15000        75        0.67    3.8970
     16000        74        0.63    5.4610
 


           ========== 15x7 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.49    0.0020
      2000        11        0.57    0.0140
      3000        18        0.61    0.0420
      4000        24        0.64    0.0950
      5000        31        0.67    0.1780
      6000        37        0.68    0.3010
      7000        46        0.70    0.4450
      8000        52        0.71    0.6700
      9000        58        0.72    0.9490
     10000        65        0.73    1.3050
     11000        75        0.74    1.6070
     12000        82        0.74    2.1070
     13000        89        0.75    2.7190
     14000        96        0.75    3.4830
     15000       103        0.74    4.5140
 


           ========== 15x7E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.53    0.0020
      2000        11        0.59    0.0120
      3000        16        0.63    0.0370
      4000        23        0.65    0.0810
      5000        29        0.67    0.1550
      6000        36        0.68    0.2600
      7000        41        0.70    0.4150
      8000        47        0.70    0.6170
      9000        56        0.71    0.8190
     10000        62        0.72    1.1240
     11000        68        0.73    1.5030
     12000        74        0.73    1.9660
     13000        81        0.74    2.5370
     14000        87        0.73    3.2670
     15000        89        0.71    4.5310
     16000        92        0.68    6.1880
 


           ========== 15x8 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.53    0.0020
      2000        13        0.61    0.0160
      3000        20        0.66    0.0490
      4000        27        0.68    0.1120
      5000        36        0.70    0.2000
      6000        43        0.72    0.3410
      7000        51        0.73    0.5370
      8000        58        0.74    0.7990
      9000        68        0.75    1.0460
     10000        76        0.76    1.4390
     11000        84        0.77    1.9390
     12000        91        0.77    2.5450
     13000        99        0.78    3.2910
     14000       107        0.78    4.2120
     15000       115        0.76    5.3970
 


           ========== 15x8E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.57    0.0020
      2000        12        0.64    0.0140
      3000        19        0.67    0.0430
      4000        26        0.69    0.0940
      5000        33        0.71    0.1850
      6000        39        0.72    0.3150
      7000        48        0.73    0.4650
      8000        55        0.74    0.6910
      9000        62        0.75    0.9840
     10000        69        0.75    1.3550
     11000        76        0.76    1.8160
     12000        83        0.77    2.3820
     13000        94        0.77    2.8230
     14000        97        0.76    3.9570
     15000       100        0.75    5.3950
     16000       107        0.71    7.1220
 


           ========== 16x10 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.59    0.0040
      2000        16        0.67    0.0250
      3000        26        0.71    0.0750
      4000        34        0.73    0.1730
      5000        44        0.75    0.3280
      6000        54        0.76    0.5240
      7000        64        0.77    0.8200
      8000        73        0.78    1.2380
      9000        82        0.79    1.7710
     10000        91        0.80    2.4500
     11000       105        0.80    2.9470
     12000       115        0.81    3.9350
     13000       124        0.81    5.1620
     14000       128        0.79    7.5150
 


           ========== 16x10E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.63    0.0030
      2000        16        0.69    0.0220
      3000        24        0.72    0.0700
      4000        33        0.74    0.1520
      5000        42        0.75    0.2920
      6000        50        0.76    0.5020
      7000        59        0.77    0.7940
      8000        67        0.78    1.1890
      9000        80        0.79    1.5580
     10000        88        0.79    2.1530
     11000        98        0.80    2.8450
     12000       106        0.80    3.8330
     13000       115        0.80    5.0310
     14000       118        0.78    7.1710
     15000       130        0.75    9.2550
 


           ========== 16x12 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.65    0.0040
      2000        20        0.71    0.0300
      3000        30        0.75    0.0970
      4000        40        0.77    0.2240
      5000        53        0.78    0.3980
      6000        64        0.80    0.6840
      7000        75        0.81    1.0820
      8000        85        0.81    1.6260
      9000       100        0.82    2.0940
     10000       112        0.83    2.9030
     11000       123        0.83    3.9250
     12000       134        0.84    5.2100
     13000       146        0.83    6.8070
 


           ========== 16x12E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.68    0.0040
      2000        18        0.74    0.0280
      3000        29        0.76    0.0840
      4000        39        0.78    0.1960
      5000        49        0.79    0.3810
      6000        62        0.80    0.6000
      7000        72        0.81    0.9520
      8000        83        0.81    1.4270
      9000        93        0.82    2.0460
     10000       104        0.83    2.8360
     11000       114        0.83    3.8320
     12000       130        0.83    4.5480
     13000       134        0.83    6.6580
     14000       145        0.82    8.6870
     15000       157        0.78   11.3470
 


           ========== 16x13 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.67    0.0050
      2000        21        0.73    0.0330
      3000        32        0.76    0.1070
      4000        45        0.78    0.2290
      5000        57        0.80    0.4420
      6000        68        0.81    0.7510
      7000        79        0.82    1.2100
      8000        95        0.82    1.6290
      9000       107        0.83    2.3370
     10000       119        0.84    3.2440
     11000       131        0.84    4.3900
     12000       144        0.85    5.7570
     13000       156        0.84    7.5510
     14000       167        0.83   10.0470
     15000       181        0.79   13.2050
 


           ========== 16x14 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.68    0.0050
      2000        23        0.74    0.0360
      3000        34        0.77    0.1190
      4000        48        0.79    0.2540
      5000        60        0.81    0.4930
      6000        72        0.82    0.8480
      7000        88        0.82    1.2100
      8000       101        0.83    1.8150
      9000       115        0.84    2.5520
     10000       127        0.84    3.6250
     11000       139        0.85    4.9270
     12000       159        0.85    5.7110
     13000       165        0.85    8.6160
 


           ========== 16x16 ==========

       RPM       VMPH       EFF      HP
      1000        12        0.70    0.0060
      2000        25        0.76    0.0410
      3000        40        0.79    0.1280
      4000        53        0.81    0.3000
      5000        66        0.82    0.5800
      6000        81        0.83    0.9850
      7000        94        0.84    1.5690
      8000       112        0.84    2.1290
      9000       126        0.85    3.1010
     10000       140        0.85    4.3140
     11000       154        0.86    5.8580
     12000       175        0.86    6.8100
     13000       182        0.86   10.3010
 


           ========== 16x4E ==========

       RPM       VMPH       EFF      HP
      1000         3        0.32    0.0010
      2000         6        0.39    0.0090
      3000        10        0.43    0.0290
      4000        13        0.46    0.0640
      5000        18        0.48    0.1180
      6000        21        0.50    0.1980
      7000        25        0.51    0.3050
      8000        29        0.53    0.4480
      9000        34        0.54    0.6110
     10000        38        0.55    0.8190
     11000        42        0.56    1.0990
     12000        46        0.56    1.4290
     13000        47        0.55    1.9660
     14000        49        0.52    2.7500
     15000        47        0.46    4.1010
 


           ========== 16x4W ==========

       RPM       VMPH       EFF      HP
      1000         3        0.31    0.0020
      2000         7        0.39    0.0130
      3000        12        0.44    0.0390
      4000        16        0.47    0.0840
      5000        20        0.49    0.1600
      6000        25        0.51    0.2560
      7000        29        0.53    0.4010
      8000        34        0.54    0.5810
      9000        38        0.56    0.8170
     10000        42        0.57    1.1220
     11000        49        0.58    1.4270
     12000        53        0.59    1.8970
     13000        55        0.58    2.5790
     14000        57        0.55    3.6680
     15000        58        0.48    5.5360
 


           ========== 16x55MR ==========

       RPM       VMPH       EFF      HP
      1000         4        0.44    0.0020
      2000         8        0.50    0.0150
      3000        13        0.53    0.0460
      4000        19        0.56    0.1020
      5000        23        0.57    0.1940
      6000        29        0.59    0.3260
      7000        33        0.60    0.5110
      8000        38        0.61    0.7640
      9000        45        0.62    1.0330
     10000        48        0.63    1.4660
     11000        55        0.63    1.8870
     12000        60        0.64    2.4430
     13000        62        0.63    3.3620
     14000        64        0.61    4.7070
 


           ========== 16x6 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.43    0.0020
      2000        10        0.51    0.0150
      3000        16        0.56    0.0450
      4000        22        0.59    0.0980
      5000        27        0.62    0.1860
      6000        33        0.64    0.3140
      7000        39        0.65    0.4920
      8000        45        0.66    0.7190
      9000        53        0.68    0.9670
     10000        58        0.69    1.3250
     11000        64        0.70    1.7780
     12000        70        0.70    2.3380
     13000        76        0.70    3.0610
     14000        78        0.68    4.3390
     15000        80        0.64    6.1930
 


           ========== 16x6E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.46    0.0020
      2000         9        0.53    0.0130
      3000        15        0.57    0.0390
      4000        20        0.59    0.0890
      5000        25        0.61    0.1680
      6000        30        0.63    0.2860
      7000        37        0.64    0.4280
      8000        43        0.65    0.6330
      9000        49        0.66    0.8850
     10000        53        0.67    1.2320
     11000        59        0.68    1.6370
     12000        64        0.69    2.1440
     13000        69        0.68    2.8180
     14000        71        0.65    3.9910
     15000        71        0.61    5.7340
 


           ========== 16x7 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.48    0.0030
      2000        11        0.56    0.0170
      3000        18        0.60    0.0510
      4000        24        0.64    0.1160
      5000        31        0.66    0.2180
      6000        39        0.67    0.3510
      7000        45        0.69    0.5520
      8000        52        0.70    0.8180
      9000        59        0.71    1.1630
     10000        65        0.72    1.6010
     11000        75        0.73    1.9750
     12000        82        0.74    2.6010
     13000        85        0.73    3.7090
     14000        87        0.71    5.2390
     15000        91        0.67    7.3150
 


           ========== 16x7E(3D) ==========

       RPM       VMPH       EFF      HP
      1000         5        0.51    0.0020
      2000        11        0.58    0.0150
      3000        17        0.62    0.0470
      4000        23        0.64    0.1080
      5000        30        0.66    0.1950
      6000        36        0.67    0.3290
      7000        42        0.68    0.5170
      8000        48        0.70    0.7710
      9000        54        0.70    1.1090
     10000        63        0.71    1.4240
     11000        69        0.72    1.9070
     12000        76        0.72    2.5080
     13000        78        0.72    3.5280
     14000        80        0.69    4.9470
     15000        82        0.65    6.9590
 


           ========== 16x8 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.53    0.0030
      2000        13        0.61    0.0200
      3000        21        0.65    0.0600
      4000        27        0.68    0.1400
      5000        36        0.70    0.2500
      6000        44        0.71    0.4250
      7000        51        0.73    0.6700
      8000        58        0.74    0.9970
      9000        69        0.75    1.3070
     10000        77        0.76    1.8020
     11000        85        0.76    2.4220
     12000        92        0.77    3.1860
     13000       100        0.77    4.1750
     14000       104        0.75    5.9020
 


           ========== 16x8E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.56    0.0020
      2000        12        0.63    0.0170
      3000        19        0.66    0.0540
      4000        27        0.68    0.1190
      5000        33        0.70    0.2300
      6000        40        0.71    0.3930
      7000        49        0.72    0.5790
      8000        56        0.73    0.8620
      9000        63        0.74    1.2290
     10000        70        0.75    1.6940
     11000        77        0.75    2.2740
     12000        84        0.76    2.9970
     13000        91        0.75    3.9250
     14000        95        0.73    5.4340
     15000        98        0.70    7.6750
 


           ========== 17x10 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.59    0.0040
      2000        16        0.66    0.0310
      3000        26        0.70    0.0920
      4000        35        0.72    0.2120
      5000        44        0.74    0.4040
      6000        55        0.76    0.6430
      7000        64        0.77    1.0100
      8000        73        0.78    1.5220
      9000        83        0.79    2.1800
     10000        92        0.79    3.0210
     11000       106        0.80    3.6600
     12000       116        0.80    4.9150
 


           ========== 17x10E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.63    0.0040
      2000        16        0.68    0.0260
      3000        24        0.71    0.0850
      4000        33        0.73    0.1940
      5000        43        0.75    0.3540
      6000        51        0.76    0.6080
      7000        60        0.77    0.9480
      8000        68        0.77    1.4430
      9000        81        0.78    1.8940
     10000        89        0.79    2.6230
     11000        99        0.79    3.4900
     12000       107        0.79    4.7420
     13000       111        0.78    6.8860
     14000       117        0.74    9.6660
 


           ========== 17x10N ==========

       RPM       VMPH       EFF      HP
      1000         8        0.59    0.0040
      2000        17        0.67    0.0280
      3000        25        0.71    0.0900
      4000        35        0.73    0.1940
      5000        44        0.75    0.3740
      6000        53        0.76    0.6400
      7000        65        0.78    0.9330
      8000        75        0.79    1.3960
      9000        84        0.79    2.0010
     10000        94        0.80    2.7490
     11000       104        0.81    3.7460
     12000       113        0.81    5.0340
     13000       122        0.80    6.6980
     14000       135        0.77    8.8080
 


           ========== 17x10WE ==========

       RPM       VMPH       EFF      HP
      1000         7        0.62    0.0040
      2000        16        0.68    0.0300
      3000        24        0.70    0.0960
      4000        32        0.72    0.2200
      5000        42        0.74    0.4010
      6000        51        0.75    0.6890
      7000        60        0.76    1.0720
      8000        71        0.77    1.4990
      9000        80        0.77    2.1410
     10000        89        0.78    2.9630
     11000        99        0.78    3.9330
     12000       108        0.78    5.2430
     13000       110        0.76    7.8170
     14000       116        0.73   11.0180
 


           ========== 17x12E ==========

       RPM       VMPH       EFF      HP
      1000         9        0.68    0.0040
      2000        19        0.73    0.0330
      3000        30        0.75    0.1010
      4000        40        0.77    0.2360
      5000        50        0.78    0.4580
      6000        63        0.79    0.7230
      7000        73        0.80    1.1480
      8000        84        0.81    1.7230
      9000        94        0.82    2.4750
     10000       105        0.82    3.4400
     11000       115        0.82    4.6670
     12000       125        0.82    6.2420
     13000       131        0.81    8.9110
     14000       141        0.77   12.1110
 


           ========== 17x12W ==========

       RPM       VMPH       EFF      HP
      1000         9        0.64    0.0060
      2000        20        0.71    0.0380
      3000        30        0.74    0.1240
      4000        42        0.76    0.2650
      5000        53        0.78    0.5110
      6000        64        0.79    0.8780
      7000        75        0.80    1.3730
      8000        90        0.81    1.8600
      9000       101        0.82    2.6970
     10000       112        0.82    3.7480
