       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

      13000        23.495         3.929        19.050        0.0413        0.1136       0.739
      14000        27.606         5.170        23.275        0.0435        0.1150       0.715
      15000        32.119         7.002        29.422        0.0479        0.1166       0.663
      16000        36.784         9.583        37.751        0.0541        0.1174       0.594


                       14x85E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.114         0.002         0.110        0.0404        0.0930       0.561
       2000         0.457         0.013         0.402        0.0368        0.0933       0.618
       3000         1.031         0.041         0.866        0.0353        0.0936       0.648
       4000         1.839         0.095         1.502        0.0344        0.0939       0.667
       5000         2.883         0.183         2.311        0.0339        0.0942       0.680
       6000         4.167         0.314         3.298        0.0336        0.0946       0.691
       7000         5.698         0.496         4.467        0.0334        0.0950       0.699
       8000         7.482         0.740         5.826        0.0334        0.0955       0.705
       9000         9.526         1.055         7.385        0.0334        0.0961       0.711
      10000        11.841         1.452         9.155        0.0336        0.0967       0.715
      11000        14.439         1.946        11.151        0.0338        0.0975       0.719
      12000        17.332         2.550        13.396        0.0341        0.0983       0.721
      13000        20.537         3.301        16.003        0.0347        0.0993       0.719
      14000        24.065         4.302        19.367        0.0362        0.1003       0.700
      15000        27.922         5.768        24.236        0.0395        0.1014       0.652
      16000        31.980         7.928        31.230        0.0447        0.1020       0.581


                       155x12-4.dat               

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.332         0.007         0.470        0.1036        0.1805       0.591
       2000         1.336         0.054         1.701        0.0937        0.1816       0.659
       3000         3.017         0.174         3.666        0.0898        0.1823       0.692
       4000         5.384         0.404         6.366        0.0877        0.1829       0.712
       5000         8.445         0.779         9.814        0.0865        0.1837       0.726
       6000        12.216         1.336        14.032        0.0859        0.1845       0.736
       7000        16.712         2.115        19.047        0.0857        0.1854       0.744
       8000        21.953         3.160        24.895        0.0857        0.1865       0.749
       9000        27.961         4.515        31.622        0.0860        0.1877       0.754
      10000        34.762         6.233        39.286        0.0866        0.1890       0.757
      11000        42.377         8.405        48.160        0.0877        0.1904       0.756
      12000        50.813        11.269        59.190        0.0906        0.1918       0.740
      13000        60.050        15.329        74.319        0.0969        0.1932       0.699
      14000        69.891        21.288        95.838        0.1078        0.1939       0.632
      15000        79.237        28.792       120.982        0.1185        0.1915       0.564


                       1575x13-3.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.334         0.007         0.466        0.0947        0.1702       0.591
       2000         1.341         0.054         1.704        0.0867        0.1710       0.651
       3000         3.028         0.176         3.692        0.0835        0.1716       0.679
       4000         5.399         0.408         6.433        0.0818        0.1721       0.696
       5000         8.465         0.789         9.940        0.0809        0.1727       0.708
       6000        12.237         1.355        14.233        0.0804        0.1734       0.716
       7000        16.729         2.148        19.343        0.0803        0.1741       0.722
       8000        21.957         3.212        25.305        0.0804        0.1750       0.726
       9000        27.941         4.593        32.166        0.0808        0.1759       0.729
      10000        34.701         6.344        39.985        0.0814        0.1770       0.730
      11000        42.254         8.558        49.035        0.0825        0.1781       0.727
      12000        50.598        11.521        60.511        0.0855        0.1792       0.708


                       15x10.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.177         0.003         0.200        0.0521        0.1096       0.556
       2000         0.711         0.023         0.718        0.0466        0.1101       0.626
       3000         1.604         0.073         1.538        0.0444        0.1105       0.660
       4000         2.862         0.169         2.663        0.0432        0.1109       0.682
       5000         4.490         0.325         4.097        0.0425        0.1113       0.696
       6000         6.495         0.557         5.850        0.0422        0.1118       0.707
       7000         8.888         0.881         7.934        0.0420        0.1124       0.715
       8000        11.681         1.316        10.366        0.0421        0.1131       0.722
       9000        14.887         1.880        13.167        0.0422        0.1139       0.727
      10000        18.524         2.596        16.362        0.0425        0.1148       0.731
      11000        22.610         3.490        19.998        0.0429        0.1158       0.733
      12000        27.162         4.635        24.343        0.0439        0.1169       0.727
      13000        32.188         6.220        30.155        0.0463        0.1181       0.699
      14000        37.674         8.622        38.816        0.0514        0.1191       0.638
      15000        43.280        12.051        50.636        0.0584        0.1192       0.562


                       15x10E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.159         0.003         0.167        0.0434        0.0985       0.568
       2000         0.638         0.019         0.614        0.0399        0.0988       0.622
       3000         1.438         0.063         1.329        0.0383        0.0991       0.649
       4000         2.565         0.147         2.311        0.0375        0.0994       0.666
       5000         4.021         0.283         3.564        0.0370        0.0997       0.678
       6000         5.814         0.485         5.095        0.0367        0.1001       0.688
       7000         7.950         0.768         6.913        0.0366        0.1006       0.695
       8000        10.439         1.146         9.030        0.0366        0.1011       0.700
       9000        13.292         1.637        11.463        0.0367        0.1017       0.705
      10000        16.523         2.258        14.231        0.0369        0.1024       0.708
      11000        20.147         3.031        17.366        0.0373        0.1032       0.710
      12000        24.179         4.004        21.032        0.0379        0.1041       0.706
      13000        28.630         5.325        25.820        0.0397        0.1050       0.684
      14000        33.495         7.298        32.854        0.0435        0.1059       0.632
      15000        38.561        10.190        42.818        0.0494        0.1062       0.559
      16000        43.168        13.611        53.618        0.0544        0.1045       0.496


                       15x11.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.183         0.003         0.214        0.0557        0.1136       0.549
       2000         0.736         0.024         0.771        0.0500        0.1141       0.615
       3000         1.662         0.079         1.655        0.0478        0.1144       0.647
       4000         2.963         0.182         2.869        0.0465        0.1148       0.667
       5000         4.645         0.350         4.415        0.0459        0.1152       0.680
       6000         6.715         0.600         6.303        0.0455        0.1156       0.690
       7000         9.181         0.949         8.546        0.0453        0.1161       0.697
       8000        12.051         1.416        11.157        0.0453        0.1167       0.703
       9000        15.338         2.021        14.156        0.0454        0.1174       0.707
      10000        19.052         2.787        17.567        0.0456        0.1181       0.710
      11000        23.207         3.743        21.449        0.0460        0.1189       0.711
      12000        27.809         4.972        26.116        0.0471        0.1197       0.702
      13000        32.857         6.673        32.352        0.0497        0.1205       0.672
      14000        38.318         9.215        41.484        0.0550        0.1212       0.613
      15000        43.865        12.783        53.712        0.0620        0.1208       0.541


                       15x12.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.188         0.004         0.228        0.0591        0.1167       0.538
       2000         0.756         0.026         0.822        0.0533        0.1172       0.600
       3000         1.706         0.084         1.767        0.0510        0.1175       0.630
       4000         3.041         0.195         3.065        0.0497        0.1178       0.649
       5000         4.766         0.374         4.719        0.0490        0.1182       0.661
       6000         6.884         0.641         6.736        0.0486        0.1185       0.670
       7000         9.403         1.014         9.130        0.0484        0.1189       0.677
       8000        12.329         1.512        11.912        0.0483        0.1194       0.681
       9000        15.671         2.156        15.102        0.0484        0.1199       0.684
      10000        19.437         2.970        18.721        0.0486        0.1205       0.686
      11000        23.633         3.987        22.843        0.0490        0.1211       0.686
      12000        28.262         5.297        27.824        0.0502        0.1217       0.675
      13000        33.315         7.109        34.466        0.0529        0.1222       0.644
      14000        38.758         9.793        44.088        0.0584        0.1226       0.586
      15000        44.259        13.501        56.729        0.0655        0.1219       0.519


                       15x135-3.dat               

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.248         0.005         0.339        0.0879        0.1539       0.548
       2000         0.998         0.039         1.225        0.0795        0.1547       0.610
       3000         2.252         0.126         2.637        0.0761        0.1551       0.640
       4000         4.012         0.290         4.575        0.0742        0.1554       0.659
       5000         6.283         0.559         7.043        0.0731        0.1558       0.671
       6000         9.069         0.957        10.050        0.0725        0.1561       0.679
       7000        12.375         1.512        13.611        0.0721        0.1565       0.685
       8000        16.208         2.252        17.743        0.0720        0.1570       0.689
       9000        20.573         3.208        22.468        0.0720        0.1574       0.692
      10000        25.476         4.413        27.816        0.0722        0.1579       0.693
      11000        30.921         5.919        33.916        0.0728        0.1584       0.691
      12000        36.907         7.856        41.263        0.0744        0.1589       0.679
      13000        43.421        10.497        50.894        0.0782        0.1593       0.649
      14000        50.427        14.329        64.511        0.0855        0.1595       0.595


                       15x4E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.084         0.001         0.076        0.0197        0.0522       0.483
       2000         0.338         0.008         0.263        0.0171        0.0524       0.561
       3000         0.764         0.026         0.552        0.0159        0.0526       0.605
       4000         1.364         0.060         0.940        0.0153        0.0528       0.635
       5000         2.141         0.113         1.429        0.0148        0.0531       0.658
       6000         3.101         0.192         2.020        0.0146        0.0534       0.676
       7000         4.250         0.302         2.718        0.0144        0.0538       0.691
       8000         5.597         0.448         3.527        0.0143        0.0542       0.704
       9000         7.151         0.636         4.455        0.0143        0.0547       0.715
      10000         8.928         0.875         5.513        0.0143        0.0553       0.726
      11000        10.943         1.172         6.713        0.0144        0.0561       0.735
      12000        13.223         1.538         8.077        0.0146        0.0569       0.744
      13000        15.799         1.988         9.636        0.0148        0.0579       0.752
      14000        18.723         2.564        11.543        0.0153        0.0592       0.752
      15000        22.027         3.424        14.389        0.0166        0.0607       0.718
      16000        25.662         4.880        19.222        0.0195        0.0621       0.634


                       15x4W.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.107         0.002         0.114        0.0295        0.0664       0.463
       2000         0.431         0.012         0.381        0.0248        0.0668       0.556
       3000         0.974         0.038         0.791        0.0228        0.0671       0.607
       4000         1.739         0.085         1.342        0.0218        0.0674       0.641
       5000         2.733         0.161         2.035        0.0211        0.0678       0.666
       6000         3.962         0.274         2.876        0.0207        0.0682       0.685
       7000         5.436         0.430         3.872        0.0205        0.0688       0.701
       8000         7.167         0.639         5.033        0.0204        0.0694       0.715
       9000         9.170         0.910         6.373        0.0204        0.0702       0.726
      10000        11.467         1.255         7.910        0.0205        0.0711       0.736
      11000        14.081         1.687         9.669        0.0207        0.0721       0.745
      12000        17.048         2.224        11.683        0.0211        0.0734       0.753
      13000        20.415         2.889        14.007        0.0215        0.0749       0.760
      14000        24.247         3.746        16.863        0.0223        0.0767       0.758
      15000        28.603         5.024        21.109        0.0244        0.0788       0.725
      16000        33.492         7.232        28.490        0.0289        0.0811       0.638


                       15x55MR.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.137         0.002         0.121        0.0315        0.0851       0.628
       2000         0.550         0.014         0.449        0.0292        0.0853       0.682
       3000         1.242         0.046         0.976        0.0281        0.0856       0.709
       4000         2.216         0.108         1.700        0.0276        0.0859       0.728
       5000         3.478         0.208         2.627        0.0273        0.0862       0.741
       6000         5.036         0.358         3.761        0.0271        0.0867       0.751
       7000         6.899         0.568         5.111        0.0271        0.0873       0.760
       8000         9.079         0.849         6.690        0.0271        0.0879       0.767
       9000        11.593         1.215         8.512        0.0273        0.0887       0.773
      10000        14.460         1.682        10.599        0.0275        0.0896       0.778
      11000        17.707         2.265        12.979        0.0278        0.0907       0.783
      12000        21.366         2.988        15.692        0.0283        0.0920       0.787
      13000        25.484         3.882        18.823        0.0289        0.0935       0.788
      14000        30.117         5.061        22.786        0.0302        0.0952       0.777
      15000        35.269         6.788        28.522        0.0329        0.0972       0.734
      16000        40.805         9.463        37.277        0.0378        0.0988       0.655


                       15x6.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.131         0.002         0.135        0.0350        0.0813       0.528
       2000         0.527         0.015         0.468        0.0304        0.0817       0.613
       3000         1.191         0.047         0.988        0.0285        0.0820       0.658
       4000         2.127         0.108         1.694        0.0275        0.0824       0.687
       5000         3.342         0.206         2.591        0.0269        0.0829       0.707
       6000         4.844         0.351         3.686        0.0266        0.0834       0.723
       7000         6.645         0.554         4.989        0.0264        0.0841       0.735
       8000         8.758         0.827         6.515        0.0264        0.0848       0.746
       9000        11.203         1.183         8.283        0.0266        0.0857       0.754
      10000        14.003         1.637        10.317        0.0268        0.0868       0.762
      11000        17.188         2.208        12.654        0.0272        0.0880       0.768
      12000        20.797         2.926        15.368        0.0277        0.0895       0.771
      13000        24.878         3.874        18.784        0.0289        0.0912       0.762
      14000        29.483         5.276        23.755        0.0315        0.0932       0.722
      15000        34.496         7.453        31.316        0.0361        0.0950       0.647


                       15x6E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.117         0.002         0.106        0.0275        0.0723       0.563
       2000         0.468         0.012         0.380        0.0247        0.0725       0.631
       3000         1.057         0.039         0.814        0.0235        0.0728       0.667
       4000         1.886         0.089         1.405        0.0228        0.0731       0.691
       5000         2.961         0.171         2.157        0.0224        0.0734       0.708
       6000         4.288         0.293         3.074        0.0222        0.0738       0.722
       7000         5.876         0.462         4.164        0.0221        0.0743       0.733
       8000         7.736         0.690         5.435        0.0220        0.0749       0.742
       9000         9.882         0.985         6.901        0.0221        0.0756       0.750
      10000        12.332         1.361         8.579        0.0223        0.0764       0.757
      11000        15.110         1.831        10.494        0.0225        0.0774       0.763
      12000        18.246         2.414        12.679        0.0229        0.0785       0.768
      13000        21.780         3.146        15.252        0.0234        0.0799       0.769
      14000        25.763         4.171        18.780        0.0249        0.0815       0.746
      15000        30.169         5.786        24.313        0.0281        0.0831       0.681
      16000        34.727         8.280        32.617        0.0331        0.0841       0.588


                       15x7.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.146         0.002         0.153        0.0398        0.0906       0.548
       2000         0.588         0.017         0.537        0.0349        0.0911       0.629
       3000         1.328         0.054         1.142        0.0329        0.0914       0.670
       4000         2.371         0.125         1.966        0.0319        0.0918       0.696
       5000         3.724         0.239         3.015        0.0313        0.0923       0.715
       6000         5.396         0.409         4.298        0.0310        0.0929       0.729
       7000         7.399         0.647         5.826        0.0309        0.0936       0.740
       8000         9.748         0.967         7.617        0.0309        0.0944       0.749
       9000        12.461         1.384         9.690        0.0311        0.0954       0.756
      10000        15.563         1.916        12.075        0.0314        0.0965       0.762
      11000        19.084         2.585        14.812        0.0318        0.0978       0.767
      12000        23.060         3.432        18.024        0.0325        0.0993       0.768
      13000        27.536         4.576        22.184        0.0341        0.1010       0.751
      14000        32.549         6.301        28.368        0.0376        0.1029       0.701
      15000        37.886         8.906        37.424        0.0432        0.1044       0.623


                       15x7E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.130         0.002         0.122        0.0317        0.0807       0.577
       2000         0.523         0.014         0.442        0.0287        0.0810       0.641
       3000         1.180         0.045         0.951        0.0274        0.0813       0.674
       4000         2.106         0.105         1.647        0.0267        0.0816       0.696
       5000         3.306         0.201         2.534        0.0263        0.0820       0.711
       6000         4.786         0.344         3.617        0.0261        0.0824       0.724
       7000         6.557         0.545         4.905        0.0260        0.0829       0.733
       8000         8.629         0.813         6.409        0.0260        0.0836       0.741
       9000        11.017         1.163         8.144        0.0261        0.0843       0.748
      10000        13.741         1.607        10.130        0.0263        0.0852       0.754
      11000        16.822         2.163        12.393        0.0266        0.0862       0.759
      12000        20.293         2.852        14.978        0.0270        0.0874       0.763
      13000        24.191         3.737        18.119        0.0278        0.0887       0.757
      14000        28.556         5.022        22.607        0.0299        0.0903       0.723
      15000        33.320         7.046        29.605        0.0342        0.0918       0.650
      16000        38.052         9.941        39.160        0.0397        0.0921       0.562


                       15x8.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.160         0.003         0.172        0.0446        0.0989       0.557
       2000         0.641         0.019         0.608        0.0395        0.0993       0.633
       3000         1.448         0.062         1.297        0.0374        0.0997       0.672
       4000         2.585         0.142         2.239        0.0363        0.1001       0.696
       5000         4.058         0.273         3.440        0.0357        0.1006       0.713
       6000         5.878         0.467         4.910        0.0354        0.1012       0.725
       7000         8.055         0.740         6.660        0.0353        0.1019       0.735
       8000        10.604         1.105         8.709        0.0353        0.1027       0.743
       9000        13.543         1.582        11.079        0.0355        0.1036       0.749
      10000        16.894         2.189        13.800        0.0358        0.1047       0.755
      11000        20.685         2.953        16.919        0.0363        0.1060       0.758
      12000        24.948         3.928        20.629        0.0372        0.1074       0.755
      13000        29.714         5.268        25.541        0.0392        0.1090       0.732
      14000        34.996         7.305        32.889        0.0436        0.1107       0.674
      15000        40.482        10.255        43.090        0.0497        0.1115       0.598


                       15x8E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.142         0.002         0.138        0.0358        0.0879       0.580
       2000         0.569         0.016         0.503        0.0326        0.0882       0.641
       3000         1.285         0.052         1.084        0.0313        0.0885       0.672
       4000         2.292         0.119         1.881        0.0305        0.0888       0.692
       5000         3.597         0.230         2.897        0.0301        0.0892       0.706
       6000         5.206         0.394         4.140        0.0299        0.0896       0.717
       7000         7.128         0.624         5.616        0.0298        0.0902       0.726
       8000         9.375         0.932         7.341        0.0298        0.0908       0.733
       9000        11.961         1.332         9.328        0.0299        0.0915       0.739
      10000        14.904         1.840        11.599        0.0301        0.0924       0.744
      11000        18.227         2.475        14.184        0.0304        0.0934       0.748
      12000        21.956         3.264        17.146        0.0309        0.0945       0.750
      13000        26.122         4.304        20.867        0.0321        0.0958       0.738
      14000        30.753         5.844        26.311        0.0349        0.0973       0.694
      15000        35.728         8.234        34.599        0.0399        0.0984       0.617
      16000        40.473        11.382        44.837        0.0455        0.0980       0.538


                       16x10.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.224         0.004         0.260        0.0489        0.1071       0.573
       2000         0.899         0.030         0.934        0.0439        0.1076       0.642
       3000         2.030         0.096         2.007        0.0419        0.1080       0.676
       4000         3.624         0.221         3.481        0.0409        0.1085       0.697
       5000         5.690         0.426         5.367        0.0404        0.1090       0.711
       6000         8.239         0.731         7.678        0.0401        0.1096       0.722
       7000        11.289         1.159        10.438        0.0401        0.1103       0.730
       8000        14.857         1.735        13.673        0.0402        0.1112       0.736
       9000        18.968         2.487        17.419        0.0404        0.1121       0.741
      10000        23.649         3.447        21.723        0.0408        0.1132       0.744
      11000        28.932         4.675        26.787        0.0416        0.1145       0.743
      12000        34.840         6.367        33.444        0.0437        0.1158       0.720
      13000        41.377         8.970        43.488        0.0484        0.1172       0.662
      14000        48.211        12.903        58.091        0.0557        0.1178       0.579


                       16x10E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.199         0.003         0.214        0.0403        0.0955       0.584
       2000         0.800         0.025         0.788        0.0370        0.0958       0.639
       3000         1.807         0.081         1.707        0.0357        0.0961       0.666
       4000         3.223         0.189         2.973        0.0349        0.0964       0.684
       5000         5.057         0.364         4.592        0.0345        0.0968       0.696
       6000         7.318         0.626         6.574        0.0343        0.0973       0.706
       7000        10.019         0.993         8.937        0.0343        0.0979       0.713
       8000        13.175         1.485        11.699        0.0344        0.0986       0.718
       9000        16.805         2.126        14.890        0.0346        0.0993       0.723
      10000        20.932         2.942        18.545        0.0349        0.1002       0.726
      11000        25.584         3.973        22.762        0.0354        0.1012       0.727
      12000        30.785         5.355        28.125        0.0367        0.1024       0.712
      13000        36.551         7.439        36.066        0.0401        0.1036       0.663
      14000        42.697        10.689        48.121        0.0462        0.1043       0.582
      15000        48.356        14.733        61.907        0.0517        0.1029       0.509


                       16x12.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.241         0.005         0.299        0.0561        0.1155       0.558
       2000         0.969         0.034         1.082        0.0508        0.1160       0.620
       3000         2.187         0.111         2.332        0.0487        0.1164       0.650
       4000         3.900         0.257         4.052        0.0476        0.1167       0.668
       5000         6.115         0.496         6.249        0.0470        0.1171       0.680
       6000         8.840         0.851         8.937        0.0467        0.1176       0.689
       7000        12.085         1.348        12.136        0.0466        0.1181       0.695
       8000        15.864         2.014        15.867        0.0466        0.1187       0.700
       9000        20.189         2.879        20.162        0.0468        0.1193       0.703
      10000        25.073         3.978        25.072        0.0471        0.1201       0.704
      11000        30.526         5.396        30.918        0.0480        0.1208       0.697
      12000        36.542         7.361        38.660        0.0505        0.1215       0.669
      13000        43.091        10.332        50.095        0.0557        0.1221       0.611


                       16x12E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.213         0.004         0.248        0.0466        0.1022       0.559
       2000         0.856         0.029         0.916        0.0430        0.1025       0.608
       3000         1.931         0.095         1.989        0.0416        0.1027       0.632
       4000         3.443         0.220         3.468        0.0408        0.1030       0.647
       5000         5.396         0.425         5.358        0.0403        0.1034       0.658
       6000         7.799         0.730         7.671        0.0401        0.1037       0.665
       7000        10.661         1.157        10.421        0.0400        0.1042       0.671
       8000        13.991         1.730        13.628        0.0400        0.1047       0.675
       9000        17.803         2.473        17.319        0.0402        0.1052       0.678
      10000        22.110         3.416        21.528        0.0405        0.1059       0.679
      11000        26.926         4.616        26.448        0.0411        0.1065       0.675
      12000        32.254         6.251        32.835        0.0429        0.1072       0.654
      13000        38.082         8.702        42.190        0.0469        0.1079       0.602
      14000        44.147        12.308        55.413        0.0532        0.1078       0.532
      15000        49.640        16.600        69.751        0.0583        0.1056       0.470


                       16x13.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.246         0.005         0.314        0.0590        0.1179       0.547
       2000         0.989         0.036         1.140        0.0536        0.1184       0.606
       3000         2.231         0.117         2.461        0.0514        0.1187       0.635
       4000         3.977         0.272         4.279        0.0503        0.1190       0.651
       5000         6.231         0.524         6.600        0.0496        0.1193       0.663
       6000         9.002         0.898         9.437        0.0493        0.1197       0.671
       7000        12.297         1.423        12.810        0.0492        0.1202       0.676
       8000        16.125         2.125        16.739        0.0492        0.1206       0.680
       9000        20.497         3.035        21.253        0.0493        0.1212       0.682
      10000        25.420         4.191        26.415        0.0497        0.1217       0.682
      11000        30.899         5.688        32.589        0.0506        0.1223       0.674
      12000        36.923         7.762        40.767        0.0532        0.1228       0.645
      13000        43.464        10.879        52.743        0.0587        0.1231       0.588
      14000        50.132        15.324        68.988        0.0662        0.1225       0.517
      15000        56.209        20.845        87.590        0.0732        0.1196       0.451


                       16x14.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.251         0.005         0.330        0.0620        0.1200       0.535
       2000         1.006         0.038         1.202        0.0565        0.1205       0.590
       3000         2.270         0.124         2.598        0.0543        0.1208       0.617
       4000         4.044         0.287         4.520        0.0531        0.1210       0.632
       5000         6.333         0.553         6.974        0.0524        0.1213       0.643
       6000         9.142         0.949         9.973        0.0521        0.1216       0.649
       7000        12.476         1.503        13.535        0.0519        0.1219       0.654
       8000        16.343         2.245        17.684        0.0520        0.1223       0.657
       9000        20.748         3.205        22.447        0.0521        0.1226       0.658
      10000        25.697         4.427        27.906        0.0525        0.1230       0.656
      11000        31.191         6.015        34.467        0.0536        0.1234       0.646
      12000        37.217         8.216        43.154        0.0563        0.1237       0.616
      13000        43.745        11.508        55.795        0.0621        0.1239       0.561


                       16x16.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.253         0.006         0.355        0.0668        0.1213       0.505
       2000         1.017         0.041         1.301        0.0611        0.1218       0.555
       3000         2.294         0.134         2.819        0.0589        0.1220       0.577
       4000         4.084         0.312         4.911        0.0577        0.1222       0.591
       5000         6.392         0.602         7.585        0.0571        0.1224       0.599
       6000         9.220         1.033        10.856        0.0567        0.1226       0.604
       7000        12.573         1.637        14.743        0.0566        0.1229       0.607
       8000        16.453         2.446        19.273        0.0566        0.1231       0.609
       9000        20.867         3.496        24.480        0.0568        0.1234       0.608
      10000        25.819         4.832        30.454        0.0573        0.1236       0.606
      11000        31.308         6.566        37.620        0.0585        0.1239       0.595
      12000        37.327         8.954        47.027        0.0614        0.1241       0.568
      13000        43.850        12.487        60.543        0.0674        0.1242       0.519


                       16x4E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.103         0.002         0.097        0.0183        0.0495       0.479
       2000         0.415         0.011         0.336        0.0158        0.0497       0.559
       3000         0.937         0.034         0.705        0.0147        0.0499       0.603
       4000         1.674         0.076         1.201        0.0141        0.0501       0.634
       5000         2.629         0.145         1.825        0.0137        0.0504       0.657
       6000         3.811         0.246         2.581        0.0135        0.0507       0.675
       7000         5.228         0.386         3.474        0.0133        0.0511       0.691
       8000         6.892         0.573         4.514        0.0133        0.0516       0.705
       9000         8.819         0.815         5.710        0.0133        0.0521       0.716
      10000        11.031         1.123         7.080        0.0133        0.0528       0.728
      11000        13.554         1.509         8.647        0.0134        0.0536       0.738
      12000        16.429         1.989        10.446        0.0136        0.0546       0.747
      13000        19.716         2.598        12.598        0.0140        0.0559       0.752
      14000        23.479         3.501        15.762        0.0151        0.0574       0.725
      15000        27.682         5.085        21.367        0.0179        0.0589       0.639


                       16x4W.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.135         0.002         0.148        0.0277        0.0645       0.471
       2000         0.542         0.016         0.497        0.0234        0.0649       0.564
       3000         1.225         0.049         1.035        0.0216        0.0652       0.614
       4000         2.189         0.112         1.758        0.0207        0.0655       0.647
       5000         3.442         0.212         2.672        0.0201        0.0659       0.672
       6000         4.995         0.360         3.785        0.0198        0.0664       0.691
       7000         6.863         0.567         5.108        0.0196        0.0671       0.707
       8000         9.063         0.845         6.660        0.0196        0.0678       0.720
       9000        11.621         1.208         8.462        0.0196        0.0687       0.731
      10000        14.567         1.673        10.547        0.0198        0.0697       0.741
      11000        17.946         2.262        12.961        0.0201        0.0710       0.750
      12000        21.816         3.006        15.786        0.0206        0.0725       0.756
      13000        26.260         3.989        19.340        0.0215        0.0744       0.752
      14000        31.333         5.487        24.704        0.0237        0.0765       0.713
      15000        37.001         8.110        34.075        0.0285        0.0787       0.619


                       16x55MR.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.166         0.002         0.153        0.0288        0.0794       0.619
       2000         0.665         0.018         0.564        0.0265        0.0796       0.676
       3000         1.501         0.058         1.221        0.0255        0.0799       0.706
       4000         2.680         0.135         2.125        0.0250        0.0802       0.726
       5000         4.208         0.260         3.281        0.0247        0.0806       0.740
       6000         6.097         0.447         4.697        0.0245        0.0811       0.751
       7000         8.361         0.709         6.386        0.0245        0.0817       0.760
