       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance File Names ==========================

       FILE NAME                       TITLE  
       PER3_15x12.dat                  15x12               
       PER3_15x135-3.dat               15x13.5-3           
       PER3_15x4E.dat                  15x4E               
       PER3_15x4W.dat                  15x4W               
       PER3_15x55MR.dat                15x5.5MR            
       PER3_15x6.dat                   15x6                
       PER3_15x6E.dat                  15x6E               
       PER3_15x7.dat                   15x7                
       PER3_15x7E.dat                  15x7E               
       PER3_15x8.dat                   15x8                
       PER3_15x8E.dat                  15x8E               
       PER3_16x10.dat                  16x10               
       PER3_16x10E.dat                 16x10E              
       PER3_16x12.dat                  16x12               
       PER3_16x12E.dat                 16x12E              
       PER3_16x13.dat                  16x13               
       PER3_16x14.dat                  16x14               
       PER3_16x16.dat                  16x16               
       PER3_16x4E.dat                  16x4E               
       PER3_16x4W.dat                  16x4W               
       PER3_16x55MR.dat                16x5.5MR            
       PER3_16x6.dat                   16x6                
       PER3_16x6E.dat                  16x6E               
       PER3_16x7.dat                   16x7                
       PER3_16x7E(3D).dat              16x7E(3D)           
       PER3_16x8.dat                   16x8                
       PER3_16x8E.dat                  16x8E               
       PER3_17x10.dat                  17x10               
       PER3_17x10E.dat                 17x10E              
       PER3_17x10N.dat                 17x10N              
       PER3_17x10WE.dat                17x10WE             
       PER3_17x12E.dat                 17x12E              
       PER3_17x12W.dat                 17x12W              
       PER3_17x13.dat                  17x13               
       PER3_17x4W.dat                  17x4W               
       PER3_17x6.dat                   17x6                
       PER3_17x6E.dat                  17x6E               
       PER3_17x7E.dat                  17x7E               
       PER3_17x8.dat                   17x8                
       PER3_17x8E.dat                  17x8E               
       PER3_17x8N.dat                  17x8N               
       PER3_181x10.dat                 18.1x10             
       PER3_181x12.dat                 18.1x12             
       PER3_18x10.dat                  18x10               
       PER3_18x10E.dat                 18x10E              
       PER3_18x12.dat                  18x12               
       PER3_18x12E.dat                 18x12E              
       PER3_18x12WE.dat                18x12WE             
       PER3_18x14.dat                  18x14               
       PER3_18x55MR.dat                18x5.5MR            
       PER3_18x6W.dat                  18x6W               
       PER3_18x8.dat                   18x8                
       PER3_18x8E.dat                  18x8E               
       PER3_18x8W.dat                  18x8W               
       PER3_19x10E.dat                 19x10E              
       PER3_19x11.dat                  19x11               
       PER3_19x12E.dat                 19x12E              
       PER3_19x12WE.dat                19x12WE             
       PER3_19x8E.dat                  19x8E               
       PER3_19x8W.dat                  19x8W               
       PER3_205x105PN.dat              20.5x10.5PN         
       PER3_205x105WPN.dat             20.5x10.5WPN        
       PER3_205x10PN.dat               20.5x10PN           
       PER3_205x12WE.dat               20.5x12WE           
       PER3_205x135EPN.dat             20.5x13.5EPN        
       PER3_205x14E.dat                20.5x14E            
       PER3_205x14EPN.dat              20.5x14EPN          
       PER3_205x205E(CD).dat           20.5x20.5E(CD)      
       PER3_20x10.dat                  20x10               
       PER3_20x105PN.dat               20x10.5PN           
       PER3_20x10E.dat                 20x10E              
       PER3_20x10PN.dat                20x10PN             
