         20x15(WCAR-T6)           (20x15(WCAR-T6).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       11.61      0.3064      0.5433      0.0882      0.0497       0.102       3.230       1.799      76.418       0.365       8.003      10.679        0.16      77156.    0.4202
       12.77      0.3370      0.5786      0.0850      0.0495       0.102       3.215       1.734      76.080       0.363       7.713      10.337        0.16      77312.    0.3994
       13.93      0.3677      0.6112      0.0815      0.0490       0.101       3.184       1.663      75.335       0.360       7.396      10.011        0.16      77478.    0.3787
       15.09      0.3983      0.6413      0.0778      0.0483       0.099       3.135       1.586      74.190       0.354       7.055       9.696        0.16      77654.    0.3583
       16.25      0.4289      0.6690      0.0738      0.0473       0.097       3.071       1.505      72.659       0.347       6.692       9.392        0.16      77841.    0.3380
       17.41      0.4596      0.6942      0.0696      0.0461       0.095       2.990       1.419      70.753       0.338       6.311       9.096        0.16      78038.    0.3179
       18.57      0.4902      0.7168      0.0652      0.0446       0.092       2.894       1.329      68.487       0.327       5.914       8.805        0.16      78245.    0.2978
       19.73      0.5209      0.7366      0.0606      0.0429       0.088       2.784       1.237      65.870       0.315       5.501       8.517        0.16      78463.    0.2779
       20.89      0.5515      0.7536      0.0560      0.0410       0.084       2.659       1.141      62.911       0.300       5.077       8.229        0.16      78691.    0.2579
       22.05      0.5821      0.7673      0.0512      0.0388       0.080       2.520       1.043      59.620       0.285       4.641       7.937        0.16      78930.    0.2379
       23.21      0.6128      0.7773      0.0462      0.0365       0.075       2.367       0.943      56.002       0.267       4.195       7.639        0.16      79179.    0.2176
       24.37      0.6434      0.7829      0.0412      0.0339       0.070       2.200       0.841      52.066       0.249       3.742       7.328        0.16      79438.    0.1972
       25.53      0.6741      0.7832      0.0362      0.0311       0.064       2.021       0.738      47.819       0.228       3.281       6.997        0.16      79707.    0.1763
       26.69      0.7047      0.7765      0.0310      0.0282       0.058       1.829       0.633      43.272       0.207       2.816       6.636        0.16      79986.    0.1549
       27.85      0.7353      0.7605      0.0259      0.0250       0.052       1.625       0.528      38.442       0.184       2.348       6.228        0.16      80276.    0.1327
       29.01      0.7660      0.7308      0.0207      0.0217       0.045       1.409       0.422      33.349       0.159       1.879       5.745        0.16      80575.    0.1096
       30.17      0.7966      0.6796      0.0156      0.0182       0.038       1.184       0.317      28.015       0.134       1.411       5.138        0.16      80884.    0.0849
       31.34      0.8273      0.5906      0.0104      0.0146       0.030       0.949       0.213      22.461       0.107       0.947       4.299        0.16      81201.    0.0582
       32.50      0.8579      0.4227      0.0054      0.0109       0.022       0.705       0.109      16.692       0.080       0.486       2.967        0.16      81522.    0.0288
       33.66      0.8885      0.0206      0.0002      0.0069       0.014       0.445       0.003      10.523       0.050       0.014       0.140        0.16      81787.    0.0002



         PROP RPM =       3000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1041      0.0405       0.282       5.917       4.778     210.028       0.669      21.253      10.318        0.24     114215.    0.6617
        1.75      0.0308      0.0765      0.1035      0.0416       0.289       6.079       4.750     215.767       0.687      21.127       9.985        0.24     114307.    0.6384
        3.50      0.0615      0.1479      0.1028      0.0428       0.297       6.245       4.716     221.653       0.706      20.978       9.651        0.24     114411.    0.6149
        5.24      0.0923      0.2143      0.1019      0.0439       0.305       6.412       4.676     227.570       0.724      20.800       9.320        0.24     114528.    0.5913
        6.99      0.1231      0.2758      0.1009      0.0450       0.313       6.575       4.628     233.370       0.743      20.587       8.996        0.24     114657.    0.5678
        8.74      0.1538      0.3326      0.0996      0.0461       0.320       6.730       4.570     238.864       0.760      20.329       8.679        0.24     114800.    0.5443
       10.49      0.1846      0.3850      0.0981      0.0470       0.327       6.870       4.500     243.825       0.776      20.018       8.372        0.24     114958.    0.5211
       12.24      0.2154      0.4333      0.0962      0.0478       0.333       6.987       4.416     248.000       0.789      19.643       8.077        0.24     115130.    0.4980
       13.99      0.2461      0.4779      0.0940      0.0484       0.337       7.076       4.316     251.147       0.799      19.197       7.795        0.24     115318.    0.4751
       15.73      0.2769      0.5191      0.0915      0.0488       0.339       7.130       4.199     253.079       0.806      18.679       7.526        0.24     115521.    0.4525
       17.48      0.3077      0.5573      0.0886      0.0489       0.340       7.147       4.067     253.674       0.807      18.089       7.271        0.24     115741.    0.4302
       19.23      0.3385      0.5926      0.0854      0.0488       0.339       7.125       3.919     252.875       0.805      17.431       7.029        0.24     115976.    0.4082
       20.98      0.3692      0.6252      0.0819      0.0483       0.336       7.062       3.757     250.672       0.798      16.712       6.798        0.24     116227.    0.3866
       22.73      0.4000      0.6553      0.0781      0.0477       0.331       6.961       3.583     247.084       0.786      15.937       6.577        0.24     116493.    0.3653
       24.47      0.4308      0.6829      0.0740      0.0467       0.325       6.822       3.398     242.145       0.771      15.114       6.365        0.24     116776.    0.3442
       26.22      0.4615      0.7080      0.0698      0.0455       0.316       6.646       3.203     235.895       0.751      14.247       6.159        0.24     117074.    0.3234
       27.97      0.4923      0.7306      0.0654      0.0440       0.306       6.434       3.000     228.372       0.727      13.342       5.958        0.24     117388.    0.3027
       29.72      0.5231      0.7505      0.0608      0.0424       0.294       6.187       2.789     219.607       0.699      12.405       5.760        0.24     117717.    0.2822
       31.47      0.5538      0.7676      0.0560      0.0404       0.281       5.906       2.572     209.631       0.667      11.439       5.564        0.24     118062.    0.2618
       33.22      0.5846      0.7817      0.0512      0.0383       0.266       5.592       2.349     198.466       0.632      10.448       5.368        0.24     118423.    0.2414
       34.96      0.6154      0.7923      0.0462      0.0359       0.250       5.244       2.121     186.134       0.592       9.435       5.169        0.24     118799.    0.2209
       36.71      0.6461      0.7989      0.0412      0.0333       0.232       4.865       1.890     172.660       0.550       8.405       4.964        0.24     119191.    0.2002
       38.46      0.6769      0.8004      0.0361      0.0305       0.212       4.454       1.654     158.073       0.503       7.359       4.747        0.24     119598.    0.1791
       40.21      0.7077      0.7956      0.0309      0.0275       0.191       4.012       1.417     142.412       0.453       6.303       4.513        0.24     120021.    0.1576
       41.96      0.7384      0.7818      0.0257      0.0243       0.169       3.542       1.178     125.732       0.400       5.241       4.251        0.24     120458.    0.1354
       43.71      0.7692      0.7551      0.0205      0.0209       0.145       3.046       0.939     108.107       0.344       4.178       3.941        0.25     120910.    0.1121
       45.45      0.8000      0.7073      0.0153      0.0173       0.120       2.525       0.701      89.617       0.285       3.119       3.549        0.25     121377.    0.0872
       47.20      0.8307      0.6204      0.0101      0.0136       0.094       1.982       0.465      70.333       0.224       2.068       2.998        0.25     121855.    0.0600
       48.95      0.8615      0.4456      0.0050      0.0097       0.067       1.416       0.230      50.263       0.160       1.023       2.076        0.25     122339.    0.0292
       50.70      0.8923     -0.0576     -0.0004      0.0054       0.038       0.793      -0.016      28.135       0.090      -0.071      -0.259        0.25     122624.    0.0000



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1045      0.0398       0.656      10.338       8.523     489.237       1.168      37.910       7.902        0.32     152282.    0.6768
        2.35      0.0310      0.0785      0.1039      0.0410       0.675      10.634       8.475     503.264       1.201      37.695       7.638        0.32     152406.    0.6523
        4.69      0.0619      0.1517      0.1032      0.0421       0.694      10.939       8.417     517.702       1.236      37.440       7.375        0.32     152545.    0.6277
        7.04      0.0929      0.2195      0.1023      0.0433       0.714      11.247       8.348     532.274       1.271      37.134       7.114        0.32     152701.    0.6030
        9.38      0.1239      0.2821      0.1013      0.0445       0.733      11.551       8.265     546.625       1.305      36.764       6.858        0.32     152875.    0.5785
       11.73      0.1548      0.3398      0.1001      0.0456       0.751      11.839       8.164     560.297       1.338      36.314       6.609        0.32     153067.    0.5540
       14.07      0.1858      0.3929      0.0986      0.0466       0.768      12.102       8.041     572.732       1.367      35.766       6.368        0.32     153279.    0.5298
       16.42      0.2168      0.4418      0.0967      0.0475       0.782      12.326       7.892     583.307       1.393      35.103       6.137        0.32     153512.    0.5058
       18.77      0.2477      0.4867      0.0946      0.0481       0.793      12.497       7.714     591.421       1.412      34.311       5.916        0.32     153765.    0.4820
       21.11      0.2787      0.5281      0.0920      0.0485       0.800      12.607       7.506     596.600       1.424      33.385       5.706        0.32     154039.    0.4587
       23.46      0.3096      0.5664      0.0891      0.0487       0.803      12.647       7.268     598.536       1.429      32.328       5.508        0.32     154335.    0.4356
