         20x18(F1-GT)             (20x18(F1-GT).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       17.72      0.1337      0.2911      0.1077      0.0494       4.365      39.307      26.897    3255.321       4.441     119.636       3.748        0.56     270351.    0.5702
       22.15      0.1671      0.3504      0.1068      0.0509       4.497      40.487      26.674    3353.065       4.574     118.645       3.608        0.56     270729.    0.5467
       26.58      0.2005      0.4046      0.1056      0.0523       4.624      41.633      26.396    3447.963       4.704     117.410       3.472        0.56     271148.    0.5234
       31.01      0.2339      0.4542      0.1043      0.0537       4.743      42.702      26.050    3536.519       4.824     115.872       3.341        0.56     271609.    0.5003
       35.44      0.2673      0.4995      0.1025      0.0549       4.847      43.646      25.621    3614.673       4.931     113.964       3.215        0.56     272114.    0.4774
       39.87      0.3007      0.5409      0.1004      0.0558       4.932      44.412      25.096    3678.107       5.018     111.625       3.095        0.56     272663.    0.4548
       44.30      0.3342      0.5788      0.0979      0.0565       4.992      44.952      24.463    3722.813       5.079     108.811       2.980        0.56     273258.    0.4325
       48.73      0.3676      0.6136      0.0949      0.0569       5.023      45.228      23.720    3745.733       5.110     105.508       2.872        0.56     273898.    0.4104
       53.16      0.4010      0.6456      0.0915      0.0569       5.022      45.220      22.871    3745.073       5.109     101.732       2.770        0.56     274584.    0.3886
       57.59      0.4344      0.6749      0.0878      0.0565       4.989      44.919      21.924    3720.083       5.075      97.520       2.673        0.56     275314.    0.3672
       62.02      0.4678      0.7018      0.0836      0.0557       4.922      44.322      20.889    3670.683       5.007      92.915       2.581        0.56     276089.    0.3461
       66.45      0.5012      0.7264      0.0792      0.0546       4.824      43.434      19.776    3597.145       4.907      87.963       2.494        0.56     276909.    0.3253
       70.88      0.5346      0.7488      0.0744      0.0531       4.693      42.260      18.594    3499.902       4.775      82.706       2.410        0.56     277772.    0.3048
       75.31      0.5681      0.7689      0.0695      0.0513       4.532      40.805      17.352    3379.413       4.610      77.184       2.329        0.56     278679.    0.2846
       79.74      0.6015      0.7868      0.0643      0.0491       4.340      39.075      16.059    3236.110       4.415      71.430       2.251        0.57     279630.    0.2646
       84.17      0.6349      0.8024      0.0589      0.0466       4.117      37.074      14.720    3070.398       4.189      65.473       2.174        0.57     280623.    0.2448
       88.60      0.6683      0.8154      0.0534      0.0438       3.866      34.807      13.341    2882.643       3.932      59.342       2.099        0.57     281659.    0.2249
       93.03      0.7017      0.8255      0.0477      0.0406       3.585      32.278      11.928    2673.180       3.647      53.057       2.024        0.57     282738.    0.2051
       97.46      0.7351      0.8320      0.0420      0.0371       3.275      29.490      10.486    2442.332       3.332      46.641       1.947        0.57     283858.    0.1850
      101.89      0.7686      0.8341      0.0361      0.0333       2.937      26.449       9.018    2190.454       2.988      40.113       1.867        0.57     285019.    0.1645
      106.32      0.8020      0.8300      0.0301      0.0291       2.572      23.159       7.530    1917.977       2.616      33.494       1.781        0.57     286222.    0.1434
      110.75      0.8354      0.8164      0.0241      0.0247       2.180      19.627       6.026    1625.454       2.217      26.804       1.682        0.57     287463.    0.1211
      115.18      0.8688      0.7866      0.0181      0.0199       1.762      15.861       4.511    1313.590       1.792      20.066       1.558        0.58     288743.    0.0971
      119.61      0.9022      0.7234      0.0120      0.0149       1.318      11.871       2.990     983.146       1.341      13.301       1.380        0.58     290054.    0.0700
      124.04      0.9356      0.5697      0.0059      0.0096       0.850       7.656       1.465     634.020       0.865       6.514       1.048        0.58     291374.    0.0372
      128.47      0.9691



         PROP RPM =       8000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1104      0.0444       5.858      46.152      36.031    4368.221       5.214     160.267       3.741        0.63     307639.    0.6589
        5.06      0.0334      0.0804      0.1101      0.0457       6.031      47.518      35.917    4497.550       5.369     159.760       3.622        0.63     307908.    0.6369
       10.13      0.0668      0.1554      0.1096      0.0471       6.216      48.969      35.782    4634.930       5.533     159.156       3.502        0.63     308214.    0.6145
       15.19      0.1002      0.2251      0.1091      0.0486       6.408      50.489      35.617    4778.794       5.704     158.423       3.380        0.63     308558.    0.5919
       20.25      0.1337      0.2894      0.1085      0.0501       6.607      52.055      35.412    4926.945       5.881     157.513       3.260        0.64     308945.    0.5692
       25.32      0.1671      0.3486      0.1077      0.0516       6.807      53.633      35.155    5076.299       6.059     156.370       3.141        0.64     309375.    0.5464
       30.38      0.2005      0.4028      0.1067      0.0531       7.004      55.179      34.829    5222.698       6.234     154.921       3.025        0.64     309853.    0.5237
       35.44      0.2339      0.4524      0.1055      0.0545       7.189      56.639      34.416    5360.834       6.399     153.081       2.912        0.64     310379.    0.5012
       40.50      0.2673      0.4977      0.1039      0.0558       7.355      57.944      33.893    5484.383       6.546     150.756       2.803        0.64     310955.    0.4788
       45.57      0.3007      0.5391      0.1019      0.0568       7.492      59.023      33.241    5586.464       6.668     147.857       2.699        0.64     311583.    0.4565
       50.63      0.3342      0.5771      0.0994      0.0576       7.591      59.805      32.445    5660.527       6.757     144.315       2.600        0.64     312264.    0.4345
       55.69      0.3676      0.6118      0.0965      0.0580       7.646      60.237      31.498    5701.406       6.806     140.105       2.506        0.64     312996.    0.4126
       60.76      0.4010      0.6438      0.0932      0.0580       7.652      60.285      30.406    5705.915       6.811     135.244       2.417        0.64     313781.    0.3910
       65.82      0.4344      0.6732      0.0894      0.0577       7.607      59.932      29.177    5672.573       6.771     129.778       2.333        0.64     314617.    0.3697
       70.88      0.4678      0.7002      0.0853      0.0570       7.511      59.178      27.825    5601.142       6.686     123.766       2.253        0.64     315505.    0.3487
       75.95      0.5012      0.7250      0.0808      0.0559       7.365      58.025      26.365    5492.078       6.556     117.272       2.177        0.64     316444.    0.3280
       81.01      0.5347      0.7475      0.0760      0.0544       7.169      56.483      24.810    5346.117       6.381     110.355       2.105        0.64     317433.    0.3076
       86.07      0.5681      0.7680      0.0710      0.0525       6.925      54.560      23.172    5164.058       6.164     103.069       2.035        0.64     318471.    0.2874
       91.14      0.6015      0.7862      0.0658      0.0503       6.634      52.263      21.462    4946.637       5.905      95.461       1.968        0.65     319560.    0.2675
       96.20      0.6349      0.8022      0.0603      0.0477       6.295      49.599      19.688    4694.505       5.604      87.572       1.902        0.65     320697.    0.2476
      101.26      0.6683      0.8157      0.0547      0.0448       5.912      46.575      17.859    4408.279       5.262      79.437       1.838        0.65     321883.    0.2278
      106.33      0.7017      0.8265      0.0490      0.0416       5.483      43.196      15.983    4088.522       4.880      71.091       1.773        0.65     323118.    0.2080
      111.39      0.7352      0.8339      0.0431      0.0380       5.010      39.470      14.065    3735.786       4.459      62.560       1.708        0.65     324400.    0.1879
      116.45      0.7686      0.8370      0.0371      0.0341       4.493      35.401      12.112    3350.638       4.000      53.873       1.640        0.65     325729.    0.1674
      121.51      0.8020      0.8343      0.0310      0.0298       3.934      30.996      10.129    2933.752       3.502      45.056       1.566        0.66     327104.    0.1462
      126.58      0.8354      0.8226      0.0249      0.0253       3.334      26.265       8.124    2485.983       2.967      36.138       1.482        0.66     328525.    0.1240
      131.64      0.8688      0.7955      0.0187      0.0204       2.693      21.220       6.104    2008.418       2.397      27.148       1.378        0.66     329988.    0.0999
      136.70      0.9022      0.7370      0.0125      0.0153       2.015      15.872       4.073    1502.240       1.793      18.118       1.230        0.66     331488.    0.0728
      141.77      0.9357      0.5931      0.0062      0.0098       1.297      10.221       2.035     967.429       1.155       9.053       0.954        0.66     332999.    0.0399
      146.83      0.9691     -0.1392     -0.0005      0.0036       0.474       3.734      -0.168     353.374       0.422      -0.749      -0.216        0.66     332629.    0.0000



         PROP RPM =       9000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1109      0.0472       8.852      61.995      45.804    6601.219       7.004     203.736       3.147        0.71     346065.    0.6249
        5.71      0.0335      0.0765      0.1106      0.0484       9.090      63.657      45.687    6778.265       7.192     203.217       3.057        0.71     346367.    0.6063
       11.42      0.0670      0.1485      0.1103      0.0498       9.342      65.426      45.549    6966.632       7.392     202.601       2.965        0.71     346710.    0.5872
       17.13      0.1005      0.2158      0.1099      0.0512       9.607      67.281      45.379    7164.175       7.601     201.847       2.873        0.71     347097.    0.5678
       22.84      0.1340      0.2785      0.1094      0.0526       9.880      69.194      45.166    7367.840       7.818     200.899       2.780        0.71     347531.    0.5482
       28.55      0.1675      0.3366      0.1087      0.0541      10.156      71.123      44.893    7573.264       8.035     199.685       2.689        0.72     348015.    0.5285
       34.27      0.2010      0.3903      0.1078      0.0555      10.426      73.014      44.539    7774.527       8.249     198.109       2.598        0.72     348553.    0.5088
       39.98      0.2345      0.4399      0.1067      0.0569      10.680      74.793      44.077    7963.960       8.450     196.056       2.510        0.72     349145.    0.4890
       45.69      0.2680      0.4857      0.1053      0.0581      10.906      76.373      43.478    8132.288       8.629     193.392       2.425        0.72     349795.    0.4691
       51.40      0.3015      0.5279      0.1034      0.0591      11.089      77.660      42.713    8269.316       8.774     189.986       2.343        0.72     350504.    0.4492
       57.11      0.3350      0.5668      0.1011      0.0598      11.218      78.563      41.756    8365.446       8.876     185.733       2.264        0.72     351273.    0.4292
       62.82      0.3685      0.6028      0.0983      0.0601      11.282      79.012      40.599    8413.268       8.927     180.582       2.189        0.72     352102.    0.4091
       68.53      0.4020      0.6360      0.0950      0.0601      11.276      78.967      39.242    8408.412       8.922     174.548       2.117        0.72     352990.    0.3890
       74.24      0.4356      0.6666      0.0913      0.0596      11.196      78.410      37.699    8349.167       8.859     167.687       2.048        0.72     353937.    0.3689
       79.95      0.4691      0.6947      0.0871      0.0588      11.044      77.342      35.989    8235.428       8.738     160.077       1.982        0.72     354943.    0.3488
       85.66      0.5026      0.7205      0.0826      0.0576      10.819      75.769      34.128    8067.923       8.560     151.803       1.919        0.72     356007.    0.3288
       91.37      0.5361      0.7441      0.0778      0.0561      10.524      73.700      32.137    7847.652       8.327     142.946       1.857        0.72     357127.    0.3089
       97.09      0.5696      0.7653      0.0727      0.0541      10.159      71.145      30.032    7575.581       8.038     133.582       1.798        0.73     358305.    0.2891
      102.80      0.6031      0.7843      0.0674      0.0518       9.726      68.111      27.827    7252.530       7.695     123.776       1.740        0.73     359538.    0.2693
      108.51      0.6366      0.8009      0.0618      0.0491       9.225      64.604      25.536    6879.083       7.299     113.586       1.684        0.73     360826.    0.2496
      114.22      0.6701      0.8151      0.0561      0.0461       8.657      60.628      23.170    6455.703       6.850     103.059       1.628        0.73     362170.    0.2299
      119.93      0.7036      0.8266      0.0502      0.0427       8.023      56.188      20.737    5982.931       6.348      92.239       1.572        0.73     363568.    0.2100
      125.64      0.7371      0.8347      0.0442      0.0390       7.324      51.290      18.248    5461.428       5.795      81.166       1.515        0.73     365019.    0.1899
      131.35      0.7706      0.8387      0.0380      0.0349       6.560      45.942      15.710    4891.984       5.191      69.877       1.457        0.74     366524.    0.1694
      137.06      0.8041      0.8370      0.0318      0.0305       5.734      40.154      13.131    4275.573       4.537      58.408       1.393        0.74     368081.    0.1481
      142.77      0.8376      0.8266      0.0255      0.0258       4.846      33.935      10.521    3613.447       3.834      46.797       1.321        0.74     369688.    0.1257
      148.48      0.8711      0.8010      0.0191      0.0208       3.899      27.303       7.888    2907.210       3.085      35.084       1.231        0.74     371343.    0.1014
      154.19      0.9046      0.7443      0.0127      0.0154       2.895      20.272       5.240    2158.610       2.290      23.307       1.101        0.74     373040.    0.0739
      159.91      0.9381      0.5999      0.0062      0.0098       1.834      12.843       2.580    1367.507       1.451      11.476       0.856        0.75     374746.    0.0403
      165.62      0.9716



