         20x18(F1-GT)             (20x18(F1-GT).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       12.64      0.3337      0.5584      0.0936      0.0559       0.115       3.631       1.909      85.925       0.410       8.492      10.078        0.16      78091.    0.4086
       13.90      0.3670      0.5931      0.0905      0.0560       0.115       3.637       1.846      86.056       0.411       8.212       9.730        0.16      78273.    0.3879
       15.17      0.4004      0.6249      0.0871      0.0558       0.115       3.621       1.776      85.692       0.409       7.898       9.398        0.16      78467.    0.3674
       16.43      0.4338      0.6540      0.0833      0.0552       0.114       3.585       1.698      84.823       0.405       7.553       9.080        0.16      78674.    0.3471
       17.69      0.4671      0.6807      0.0792      0.0543       0.112       3.527       1.614      83.454       0.398       7.181       8.775        0.16      78894.    0.3271
       18.96      0.5005      0.7048      0.0748      0.0531       0.109       3.448       1.525      81.591       0.390       6.785       8.480        0.16      79126.    0.3073
       20.22      0.5339      0.7264      0.0702      0.0516       0.106       3.349       1.432      79.244       0.378       6.368       8.194        0.16      79371.    0.2876
       21.49      0.5672      0.7455      0.0654      0.0497       0.102       3.230       1.334      76.424       0.365       5.932       7.914        0.16      79628.    0.2681
       22.75      0.6006      0.7619      0.0604      0.0476       0.098       3.091       1.232      73.139       0.349       5.479       7.639        0.16      79897.    0.2488
       24.01      0.6340      0.7754      0.0553      0.0452       0.093       2.933       1.127      69.398       0.331       5.013       7.366        0.16      80179.    0.2294
       25.28      0.6673      0.7857      0.0500      0.0424       0.087       2.756       1.019      65.208       0.311       4.534       7.090        0.16      80473.    0.2100
       26.54      0.7007      0.7922      0.0446      0.0394       0.081       2.560       0.909      60.575       0.289       4.044       6.808        0.16      80779.    0.1905
       27.81      0.7341      0.7940      0.0391      0.0361       0.074       2.346       0.797      55.505       0.265       3.545       6.513        0.16      81097.    0.1706
       29.07      0.7674      0.7896      0.0335      0.0326       0.067       2.113       0.683      50.006       0.239       3.039       6.196        0.16      81428.    0.1502
       30.33      0.8008      0.7767      0.0278      0.0287       0.059       1.863       0.568      44.087       0.211       2.525       5.841        0.16      81769.    0.1291
       31.60      0.8342      0.7508      0.0221      0.0246       0.051       1.596       0.451      37.760       0.180       2.007       5.420        0.16      82123.    0.1068
       32.86      0.8675      0.7032      0.0164      0.0202       0.042       1.312       0.334      31.038       0.148       1.486       4.881        0.16      82487.    0.0828
       34.13      0.9009      0.6136      0.0106      0.0156       0.032       1.012       0.216      23.937       0.114       0.963       4.102        0.17      82860.    0.0560
       35.39      0.9343      0.4216      0.0048      0.0107       0.022       0.695       0.099      16.452       0.079       0.438       2.717        0.17      83235.    0.0250
       36.65      0.9676



         PROP RPM =       3000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1081      0.0443       0.308       6.471       4.963     229.678       0.731      22.074       9.800        0.24     115397.    0.6405
        1.89      0.0333      0.0788      0.1076      0.0455       0.317       6.651       4.936     236.061       0.751      21.957       9.485        0.24     115499.    0.6183
        3.79      0.0667      0.1523      0.1069      0.0468       0.325       6.838       4.906     242.715       0.773      21.821       9.168        0.24     115614.    0.5957
        5.68      0.1000      0.2206      0.1061      0.0481       0.335       7.030       4.870     249.536       0.794      21.660       8.851        0.24     115745.    0.5730
        7.58      0.1334      0.2837      0.1052      0.0495       0.344       7.224       4.827     256.393       0.816      21.469       8.539        0.24     115891.    0.5503
        9.47      0.1667      0.3419      0.1041      0.0507       0.353       7.413       4.775     263.119       0.838      21.240       8.232        0.24     116053.    0.5277
       11.37      0.2001      0.3954      0.1027      0.0520       0.361       7.593       4.713     269.505       0.858      20.965       7.932        0.24     116232.    0.5052
       13.26      0.2334      0.4444      0.1011      0.0531       0.369       7.756       4.639     275.303       0.876      20.634       7.643        0.24     116429.    0.4830
       15.16      0.2668      0.4894      0.0992      0.0541       0.376       7.895       4.550     280.235       0.892      20.239       7.364        0.24     116645.    0.4609
       17.05      0.3001      0.5307      0.0969      0.0548       0.381       8.002       4.445     284.016       0.904      19.769       7.098        0.24     116879.    0.4390
       18.95      0.3335      0.5685      0.0942      0.0552       0.384       8.069       4.321     286.391       0.912      19.221       6.844        0.24     117132.    0.4174
       20.84      0.3668      0.6032      0.0911      0.0554       0.385       8.091       4.180     287.179       0.914      18.592       6.602        0.24     117405.    0.3960
       22.74      0.4002      0.6351      0.0876      0.0552       0.384       8.066       4.021     286.279       0.911      17.887       6.371        0.24     117696.    0.3748
       24.63      0.4335      0.6643      0.0838      0.0547       0.380       7.992       3.847     283.658       0.903      17.112       6.151        0.24     118006.    0.3540
       26.53      0.4669      0.6910      0.0797      0.0539       0.375       7.870       3.659     279.319       0.889      16.274       5.941        0.24     118336.    0.3334
       28.42      0.5002      0.7152      0.0754      0.0527       0.366       7.699       3.458     273.282       0.870      15.381       5.739        0.24     118684.    0.3131
       30.32      0.5336      0.7369      0.0707      0.0512       0.356       7.482       3.246     265.578       0.845      14.440       5.544        0.24     119051.    0.2931
       32.21      0.5669      0.7562      0.0659      0.0494       0.344       7.219       3.025     256.237       0.816      13.456       5.355        0.24     119436.    0.2733
       34.11      0.6003      0.7730      0.0609      0.0473       0.329       6.911       2.796     245.288       0.781      12.436       5.170        0.24     119840.    0.2536
       36.00      0.6336      0.7871      0.0558      0.0449       0.312       6.558       2.559     232.757       0.741      11.383       4.987        0.24     120263.    0.2340
       37.90      0.6670      0.7981      0.0505      0.0422       0.293       6.161       2.316     218.666       0.696      10.301       4.804        0.24     120704.    0.2145
       39.79      0.7003      0.8057      0.0451      0.0392       0.272       5.720       2.067     203.036       0.646       9.196       4.618        0.24     121163.    0.1948
       41.69      0.7337      0.8089      0.0395      0.0359       0.249       5.237       1.814     185.890       0.592       8.069       4.426        0.24     121640.    0.1749
       43.58      0.7670      0.8066      0.0339      0.0323       0.224       4.712       1.557     167.250       0.532       6.924       4.222        0.24     122135.    0.1545
       45.48      0.8004      0.7965      0.0282      0.0284       0.197       4.146       1.296     147.148       0.468       5.765       3.995        0.25     122647.    0.1334
       47.37      0.8337      0.7747      0.0225      0.0242       0.168       3.539       1.033     125.622       0.400       4.596       3.730        0.25     123176.    0.1112
       49.27      0.8671      0.7329      0.0167      0.0198       0.138       2.894       0.769     102.723       0.327       3.419       3.394        0.25     123722.    0.0873
       51.16      0.9004      0.6520      0.0110      0.0151       0.105       2.212       0.503      78.504       0.250       2.238       2.907        0.25     124282.    0.0605
       53.06      0.9338      0.4724      0.0052      0.0102       0.071       1.492       0.237      52.949       0.169       1.055       2.031        0.25     124845.    0.0290
       54.95      0.9671



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1085      0.0437       0.721      11.358       8.850     537.531       1.283      39.366       7.468        0.32     153857.    0.6518
        2.52      0.0333      0.0799      0.1079      0.0450       0.741      11.683       8.806     552.917       1.320      39.169       7.224        0.32     153993.    0.6289
        5.05      0.0666      0.1544      0.1073      0.0463       0.763      12.023       8.754     568.999       1.358      38.938       6.978        0.32     154147.    0.6057
        7.57      0.1000      0.2235      0.1066      0.0476       0.785      12.373       8.693     585.534       1.398      38.665       6.734        0.32     154320.    0.5825
       10.10      0.1333      0.2874      0.1057      0.0490       0.808      12.725       8.619     602.215       1.438      38.339       6.492        0.32     154514.    0.5592
       12.62      0.1666      0.3461      0.1046      0.0503       0.830      13.072       8.531     618.646       1.477      37.946       6.255        0.32     154730.    0.5360
       15.15      0.1999      0.3999      0.1033      0.0516       0.851      13.404       8.424     634.332       1.514      37.472       6.024        0.32     154968.    0.5129
       17.67      0.2332      0.4493      0.1017      0.0528       0.870      13.707       8.296     648.677       1.549      36.899       5.800        0.32     155231.    0.4901
       20.19      0.2666      0.4945      0.0998      0.0538       0.886      13.968       8.141     661.011       1.578      36.209       5.586        0.32     155518.    0.4676
       22.72      0.2999      0.5359      0.0975      0.0546       0.899      14.171       7.956     670.638       1.601      35.388       5.381        0.32     155830.    0.4453
       25.24      0.3332      0.5738      0.0949      0.0551       0.908      14.304       7.739     676.934       1.616      34.423       5.185        0.32     156167.    0.4232
       27.77      0.3665      0.6086      0.0918      0.0553       0.911      14.357       7.489     679.440       1.622      33.313       5.000        0.32     156530.    0.4014
       30.29      0.3998      0.6405      0.0884      0.0552       0.909      14.324       7.209     677.901       1.618      32.065       4.823        0.32     156918.    0.3799
       32.81      0.4331      0.6697      0.0846      0.0547       0.901      14.204       6.900     672.218       1.605      30.690       4.655        0.32     157332.    0.3588
       35.34      0.4665      0.6964      0.0805      0.0539       0.888      13.997       6.565     662.391       1.581      29.201       4.495        0.32     157771.    0.3379
       37.86      0.4998      0.7207      0.0761      0.0528       0.870      13.702       6.208     648.463       1.548      27.612       4.342        0.32     158235.    0.3174
       40.39      0.5331      0.7426      0.0715      0.0513       0.846      13.323       5.830     630.501       1.505      25.934       4.194        0.32     158723.    0.2971
       42.91      0.5664      0.7622      0.0666      0.0495       0.816      12.860       5.436     608.576       1.453      24.179       4.051        0.32     159237.    0.2771
       45.44      0.5997      0.7792      0.0616      0.0474       0.781      12.314       5.026     582.756       1.391      22.357       3.912        0.32     159775.    0.2573
       47.96      0.6331      0.7937      0.0564      0.0450       0.742      11.687       4.604     553.102       1.320      20.477       3.775        0.32     160338.    0.2376
       50.48      0.6664      0.8054      0.0511      0.0423       0.697      10.981       4.169     519.668       1.241      18.545       3.639        0.32     160925.    0.2180
       53.01      0.6997      0.8137      0.0457      0.0393       0.647      10.196       3.725     482.504       1.152      16.569       3.502        0.33     161537.    0.1983
       55.53      0.7330      0.8181      0.0401      0.0359       0.592       9.333       3.272     441.660       1.054      14.555       3.361        0.33     162172.    0.1783
       58.06      0.7663      0.8173      0.0345      0.0323       0.533       8.393       2.812     397.195       0.948      12.509       3.211        0.33     162831.    0.1580
       60.58      0.7997      0.8094      0.0288      0.0284       0.468       7.378       2.346     349.180       0.834      10.436       3.048        0.33     163513.    0.1370
       63.10      0.8330      0.7906      0.0230      0.0242       0.399       6.291       1.876     297.710       0.711       8.344       2.858        0.33     164218.    0.1148
       65.63      0.8663      0.7535      0.0172      0.0198       0.326       5.133       1.403     242.905       0.580       6.239       2.619        0.33     164945.    0.0910
       68.15      0.8996      0.6800      0.0114      0.0150       0.248       3.907       0.928     184.893       0.441       4.127       2.276        0.33     165690.    0.0643
       70.68      0.9329      0.5135      0.0055      0.0101       0.166       2.613       0.452     123.659       0.295       2.010       1.657        0.33     166441.    0.0327
       73.20      0.9663



         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1089      0.0435       1.401      17.660      13.879    1044.677       1.995      61.736       6.026        0.40     192312.    0.6586
        3.18      0.0336      0.0813      0.1084      0.0448       1.442      18.181      13.814    1075.503       2.054      61.446       5.826        0.40     192483.    0.6353
        6.36      0.0672      0.1569      0.1078      0.0462       1.486      18.727      13.738    1107.825       2.116      61.105       5.624        0.40     192677.    0.6116
        9.55      0.1008      0.2270      0.1071      0.0475       1.530      19.291      13.646    1141.166       2.179      60.698       5.424        0.40     192896.    0.5878
       12.73      0.1344      0.2916      0.1062      0.0489       1.576      19.861      13.536    1174.914       2.244      60.207       5.225        0.40     193141.    0.5640
       15.91      0.1680      0.3509      0.1051      0.0503       1.620      20.425      13.402    1208.261       2.308      59.612       5.031        0.40     193414.    0.5403
       19.09      0.2016      0.4052      0.1039      0.0517       1.663      20.965      13.239    1240.197       2.369      58.887       4.842        0.40     193716.    0.5169
       22.27      0.2352      0.4549      0.1023      0.0529       1.702      21.460      13.040    1269.498       2.425      58.004       4.659        0.40     194049.    0.4936
       25.46      0.2688      0.5004      0.1004      0.0539       1.736      21.887      12.799    1294.771       2.473      56.932       4.484        0.40     194413.    0.4706
       28.64      0.3024      0.5419      0.0981      0.0548       1.763      22.222      12.510    1314.578       2.511      55.645       4.316        0.40     194809.    0.4479
       31.82      0.3360      0.5799      0.0955      0.0553       1.780      22.443      12.168    1327.625       2.536      54.125       4.157        0.40     195237.    0.4254
       35.00      0.3696      0.6147      0.0924      0.0555       1.788      22.533      11.774    1332.968       2.546      52.369       4.006        0.40     195697.    0.4033
       38.18      0.4032      0.6467      0.0889      0.0554       1.784      22.484      11.328    1330.088       2.540      50.389       3.863        0.40     196190.    0.3815
       41.36      0.4368      0.6759      0.0850      0.0549       1.769      22.293      10.837    1318.787       2.519      48.203       3.727        0.40     196716.    0.3600
       44.55      0.4704      0.7026      0.0808      0.0541       1.742      21.960      10.304    1299.063       2.481      45.834       3.598        0.40     197273.    0.3388
       47.73      0.5040      0.7269      0.0764      0.0530       1.704      21.486       9.735    1271.012       2.427      43.302       3.474        0.40     197862.    0.3180
       50.91      0.5376      0.7488      0.0717      0.0514       1.656      20.873       9.134    1234.769       2.358      40.628       3.355        0.40     198483.    0.2975
       54.09      0.5712      0.7684      0.0667      0.0496       1.596      20.124       8.505    1190.479       2.274      37.830       3.240        0.40     199136.    0.2772
       57.27      0.6048      0.7856      0.0616      0.0474       1.526      19.242       7.852    1138.280       2.174      34.924       3.129        0.40     199820.    0.2572
       60.46      0.6384      0.8001      0.0563      0.0449       1.446      18.228       7.177    1078.298       2.059      31.924       3.019        0.40     200534.    0.2373
       63.64      0.6720      0.8119      0.0509      0.0421       1.355      17.084       6.484    1010.645       1.930      28.842       2.910        0.41     201280.    0.2174
       66.82      0.7056      0.8204      0.0453      0.0390       1.254      15.813       5.776     935.424       1.787      25.690       2.801        0.41     202057.    0.1975
       70.00      0.7392      0.8249      0.0396      0.0355       1.144      14.415       5.053     852.741       1.629      22.477       2.688        0.41     202863.    0.1773
