         11x6M-LH                 (11x6M-LH.dat)
         v2022-0915
         Simulation Date: 11/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1130      0.0563       0.001       0.368       0.424       0.436       0.042       1.885     441.095        4.78      21051.    0.5383
        0.00      0.0241      0.0474      0.1112      0.0567       0.001       0.371       0.417       0.438       0.042       1.854     431.224        4.78      21067.    0.5219
        0.05      0.0483      0.0925      0.1092      0.0570       0.001       0.373       0.409       0.441       0.042       1.821     421.256        4.78      21085.    0.5053
        0.08      0.0724      0.1355      0.1071      0.0572       0.001       0.374       0.402       0.443       0.042       1.786     411.215        4.78      21103.    0.4885
        0.10      0.0966      0.1762      0.1048      0.0574       0.001       0.376       0.393       0.445       0.042       1.749     401.110        4.78      21123.    0.4715
        0.13      0.1207      0.2147      0.1024      0.0576       0.001       0.377       0.384       0.446       0.043       1.709     390.947        4.79      21145.    0.4542
        0.15      0.1448      0.2509      0.0999      0.0576       0.001       0.377       0.375       0.446       0.043       1.666     380.728        4.79      21167.    0.4368
        0.18      0.1690      0.2848      0.0971      0.0576       0.001       0.377       0.364       0.446       0.043       1.620     370.450        4.79      21192.    0.4191
        0.20      0.1931      0.3164      0.0942      0.0575       0.001       0.376       0.353       0.445       0.042       1.571     360.110        4.79      21218.    0.4012
        0.23      0.2173      0.3457      0.0910      0.0572       0.001       0.374       0.341       0.443       0.042       1.518     349.700        4.79      21245.    0.3830
