         10x8M-LH                 (10x8M-LH.dat)
         v2022-0915
         Simulation Date: 05/03/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1783      0.1037       0.001       0.404       0.442       0.478       0.046       1.964     419.063        4.31      23277.    0.5791
        0.00      0.0328      0.0552      0.1759      0.1046       0.001       0.407       0.436       0.482       0.046       1.938     409.936        4.31      23307.    0.5626
        0.06      0.0657      0.1079      0.1733      0.1054       0.001       0.411       0.429       0.486       0.046       1.909     400.701        4.31      23340.    0.5459
        0.09      0.0985      0.1581      0.1705      0.1062       0.001       0.414       0.422       0.490       0.047       1.879     391.394        4.31      23376.    0.5290
        0.12      0.1313      0.2058      0.1675      0.1069       0.001       0.416       0.415       0.493       0.047       1.846     382.044        4.31      23416.    0.5118
        0.15      0.1641      0.2509      0.1643      0.1075       0.001       0.419       0.407       0.495       0.047       1.810     372.672        4.32      23458.    0.4944
        0.18      0.1970      0.2935      0.1608      0.1079       0.001       0.420       0.398       0.497       0.047       1.772     363.298        4.32      23503.    0.4768
        0.21      0.2298      0.3336      0.1570      0.1081       0.001       0.421       0.389       0.498       0.048       1.730     353.935        4.32      23552.    0.4590
        0.25      0.2626      0.3712      0.1529      0.1082       0.001       0.421       0.379       0.498       0.048       1.684     344.591        4.33      23603.    0.4409
        0.28      0.2954      0.4063      0.1484      0.1079       0.001       0.420       0.368       0.497       0.047       1.635     335.271        4.33      23659.    0.4227
        0.31      0.3283      0.4389      0.1435      0.1074       0.001       0.418       0.356       0.495       0.047       1.582     325.973        4.33      23717.    0.4042
        0.34      0.3611      0.4691      0.1383      0.1065       0.001       0.415       0.343       0.491       0.047       1.524     316.693        4.34      23779.    0.3854
        0.37      0.3939      0.4967      0.1326      0.1052       0.001       0.410       0.328       0.485       0.046       1.461     307.420        4.34      23845.    0.3664
        0.40      0.4267      0.5219      0.1265      0.1035       0.001       0.403       0.313       0.477       0.046       1.394     298.134        4.35      23914.    0.3471
        0.43      0.4596      0.5444      0.1200      0.1013       0.001       0.395       0.297       0.467       0.045       1.323     288.798        4.36      23986.    0.3275
        0.46      0.4924      0.5642      0.1132      0.0988       0.001       0.385       0.280       0.455       0.043       1.247     279.351        4.36      24062.    0.3076
        0.49      0.5252      0.5811      0.1060      0.0959       0.001       0.373       0.263       0.442       0.042       1.168     269.714        4.37      24141.    0.2874
        0.52      0.5580      0.5947      0.0986      0.0925       0.001       0.360       0.244       0.426       0.041       1.086     259.791        4.38      24223.    0.2670
        0.55      0.5909      0.6046      0.0909      0.0889       0.001       0.346       0.225       0.410       0.039       1.002     249.467        4.39      24309.    0.2462
        0.58      0.6237      0.6104      0.0830      0.0848       0.001       0.330       0.206       0.391       0.037       0.915     238.602        4.40      24398.    0.2250
        0.61      0.6565      0.6114      0.0749      0.0805       0.000       0.313       0.186       0.371       0.035       0.826     227.025        4.40      24490.    0.2034
        0.64      0.6893      0.6065      0.0667      0.0758       0.000       0.295       0.165       0.349       0.033       0.735     214.512        4.41      24585.    0.1813
        0.68      0.7222      0.5947      0.0584      0.0709       0.000       0.276       0.145       0.327       0.031       0.643     200.776        4.42      24684.    0.1587
        0.71      0.7550      0.5742      0.0499      0.0656       0.000       0.256       0.124       0.302       0.029       0.550     185.424        4.43      24786.    0.1356
