         14x17M                   (14x17M.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1764      0.1215       0.004       2.704       1.761       3.199       0.306       7.834     249.686        6.11      41039.    0.4863  
        0.06      0.0482      0.0685      0.1755      0.1236       0.004       2.750       1.752       3.254       0.311       7.795     244.282        6.11      41106.    0.4746  
        0.13      0.0965      0.1338      0.1746      0.1259       0.004       2.802       1.743       3.315       0.317       7.754     238.538        6.11      41183.    0.4622  
        0.19      0.1447      0.1956      0.1736      0.1285       0.005       2.859       1.734       3.382       0.323       7.712     232.505        6.12      41272.    0.4493  
        0.26      0.1930      0.2537      0.1726      0.1312       0.005       2.920       1.723       3.455       0.330       7.665     226.238        6.12      41373.    0.4358  
        0.32      0.2412      0.3081      0.1714      0.1342       0.005       2.986       1.712       3.532       0.337       7.614     219.798        6.13      41487.    0.4220  
        0.38      0.2894      0.3587      0.1701      0.1372       0.005       3.053       1.698       3.612       0.345       7.554     213.250        6.13      41614.    0.4078  
        0.45      0.3377      0.4056      0.1685      0.1403       0.005       3.122       1.683       3.693       0.353       7.485     206.652        6.14      41755.    0.3934  
        0.51      0.3859      0.4487      0.1666      0.1433       0.005       3.189       1.664       3.773       0.360       7.402     200.063        6.15      41911.    0.3787  
        0.58      0.4342      0.4884      0.1644      0.1462       0.005       3.252       1.642       3.848       0.367       7.302     193.533        6.17      42081.    0.3639  
        0.64      0.4824      0.5246      0.1617      0.1487       0.005       3.309       1.615       3.914       0.374       7.182     187.101        6.18      42266.    0.3489  
        0.70      0.5306      0.5576      0.1585      0.1508       0.005       3.355       1.582       3.969       0.379       7.038     180.800        6.20      42464.    0.3337  
        0.77      0.5789      0.5876      0.1546      0.1523       0.005       3.388       1.543       4.008       0.383       6.865     174.648        6.21      42678.    0.3184  
        0.83      0.6271      0.6147      0.1499      0.1529       0.005       3.403       1.497       4.026       0.384       6.658     168.656        6.23      42906.    0.3028  
