         10x4M-LH                 (10x4M-LH.dat)
         v2022-0915
         Simulation Date: 12/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.34      0.1777      0.3290      0.0704      0.0380       0.002       0.617       0.721       1.460       0.070       3.206     223.900        8.71      35107.    0.3921
        0.37      0.1974      0.3540      0.0675      0.0376       0.002       0.611       0.691       1.445       0.069       3.072     216.826        8.71      35140.    0.3717
        0.41      0.2172      0.3766      0.0645      0.0372       0.002       0.603       0.660       1.427       0.068       2.934     209.654        8.71      35175.    0.3512
        0.45      0.2369      0.3965      0.0613      0.0367       0.002       0.594       0.628       1.407       0.067       2.791     202.363        8.72      35212.    0.3307
        0.48      0.2567      0.4138      0.0581      0.0360       0.002       0.585       0.595       1.383       0.066       2.644     194.930        8.72      35250.    0.3100
        0.52      0.2764      0.4282      0.0548      0.0354       0.002       0.574       0.561       1.357       0.065       2.493     187.323        8.73      35290.    0.2893
        0.56      0.2962      0.4397      0.0514      0.0346       0.002       0.561       0.526       1.328       0.063       2.338     179.508        8.73      35332.    0.2685
        0.60      0.3159      0.4479      0.0479      0.0338       0.002       0.548       0.490       1.296       0.062       2.179     171.439        8.74      35375.    0.2475
        0.63      0.3357      0.4526      0.0443      0.0329       0.002       0.533       0.453       1.261       0.060       2.016     163.064        8.74      35420.    0.2265
        0.67      0.3554      0.4535      0.0406      0.0319       0.002       0.517       0.416       1.222       0.058       1.850     154.315        8.75      35467.    0.2053
        0.71      0.3751      0.4502      0.0369      0.0308       0.002       0.499       0.378       1.181       0.056       1.680     145.111        8.75      35516.    0.1840
        0.74      0.3949      0.4420      0.0331      0.0296       0.002       0.480       0.339       1.136       0.054       1.507     135.349        8.76      35566.    0.1625
        0.78      0.4146      0.4283      0.0293      0.0283       0.001       0.459       0.299       1.087       0.052       1.332     124.898        8.77      35618.    0.1410
        0.82      0.4344      0.4080      0.0253      0.0270       0.001       0.438       0.259       1.035       0.049       1.153     113.592        8.77      35673.    0.1193
